# Age_Ma	CCD_m
0	-4193
1	-4544
2	-4077
3	-4213
4	-4329
5	-4537
6	-4403
7	-4136
8	-4265
9	-4209
10	-4075
11	-4612
12	-4822
13	-4678
14	-4569
15	-4624
16	-4494
17	-4422
18	-4464
19	-4591
20	-4635
21	-4548
22	-4506
23	-4457
24	-4490
25	-4367
26	-4450
27	-4521
28	-4389
29	-4605
30	-4532
31	-4603
32	-4439
33	-4445
34	-4194
35	-3987
