# Mean |DM2026 - BW1991| (m) per (basin, 10-deg lat band).
# Lat-band tag = band centre in degrees (signed).
time_Ma,Arctic_-85,Arctic_-75,Arctic_-65,Arctic_-55,Arctic_-45,Arctic_-35,Arctic_-25,Arctic_-15,Arctic_-5,Arctic_+5,Arctic_+15,Arctic_+25,Arctic_+35,Arctic_+45,Arctic_+55,Arctic_+65,Arctic_+75,Arctic_+85,Southern_-85,Southern_-75,Southern_-65,Southern_-55,Southern_-45,Southern_-35,Southern_-25,Southern_-15,Southern_-5,Southern_+5,Southern_+15,Southern_+25,Southern_+35,Southern_+45,Southern_+55,Southern_+65,Southern_+75,Southern_+85,Pacific_-85,Pacific_-75,Pacific_-65,Pacific_-55,Pacific_-45,Pacific_-35,Pacific_-25,Pacific_-15,Pacific_-5,Pacific_+5,Pacific_+15,Pacific_+25,Pacific_+35,Pacific_+45,Pacific_+55,Pacific_+65,Pacific_+75,Pacific_+85,Atlantic_-85,Atlantic_-75,Atlantic_-65,Atlantic_-55,Atlantic_-45,Atlantic_-35,Atlantic_-25,Atlantic_-15,Atlantic_-5,Atlantic_+5,Atlantic_+15,Atlantic_+25,Atlantic_+35,Atlantic_+45,Atlantic_+55,Atlantic_+65,Atlantic_+75,Atlantic_+85,Indian_-85,Indian_-75,Indian_-65,Indian_-55,Indian_-45,Indian_-35,Indian_-25,Indian_-15,Indian_-5,Indian_+5,Indian_+15,Indian_+25,Indian_+35,Indian_+45,Indian_+55,Indian_+65,Indian_+75,Indian_+85
78,,,,,,,,,,,,,,,,10.7883,4.0284,4.4916,0.0000,3.7132,6.0013,6.6087,,,,,,,,,,,,,,,,,,5.8499,2.4931,8.8549,10.7336,7.4356,6.5611,8.7290,7.3883,6.6232,4.5778,4.3692,8.5304,9.3817,,,,,,2.9148,4.6990,6.0559,6.0980,2.9093,2.8771,5.8810,7.0570,4.8001,3.6065,3.2266,0.0783,0.0764,,,,,,4.5231,3.9687,5.3339,7.8801,7.3859,7.8535,6.4377,7.5684,5.7907,8.2483,10.5296,1.1298,0.2828,,
79,,,,,,,,,,,,,,,,10.6723,4.1785,4.4430,0.0017,3.6478,6.2899,6.3111,,,,,,,,,,,,,,,,,,5.5571,2.5308,9.0585,11.0884,7.0166,6.7665,8.8492,7.4628,6.7150,4.5244,4.6556,8.4411,9.3459,,,,,,2.8964,4.7406,6.2450,6.1329,2.8480,3.2572,6.0307,7.0606,4.8480,3.5328,3.2026,0.1695,0.1422,,,,,,4.5934,4.0395,5.5104,8.0326,7.4301,8.2739,6.3809,7.7235,5.8440,8.5949,10.8968,1.2228,0.3873,,
80,,,,,,,,,,,,,,,,10.5013,4.2534,4.3693,0.0020,3.7015,6.5848,6.8398,,,,,,,,,,,,,,,,,,5.4033,2.6449,9.1363,11.5144,6.7006,6.9260,8.9283,7.5303,6.8945,4.6379,4.9123,8.3606,9.3057,,,,,,3.0050,4.7975,6.3861,6.3616,2.8764,3.4490,6.3062,7.2060,4.8401,3.5680,2.9947,0.1674,0.3821,,,,,,4.6095,4.1782,5.7427,8.2057,7.6094,8.8536,6.2756,7.8200,6.0036,8.5996,10.2448,1.2929,0.4687,,
81,,,,,,,,,,,,,,,,10.2378,4.3882,4.4793,0.0082,3.7917,6.8413,6.6768,,,,,,,,,,,,,,,,,,5.2639,2.7536,9.1718,11.7794,6.5024,7.1312,8.9184,7.5577,7.0373,4.9736,5.0864,8.2624,9.2873,,,,,,3.1319,4.7562,6.4690,6.6044,2.9826,3.5643,6.6204,7.2967,4.8167,3.6390,2.8026,0.1732,0.1335,,,,,,4.6404,4.3719,6.1253,8.5582,7.9031,9.4654,6.3203,7.7073,6.1634,8.2141,9.6558,1.3005,0.5925,,
82,,,,,,,,,,,,,,,,9.9208,4.4954,4.5040,0.0000,3.9923,7.0307,6.4659,,,,,,,,,,,,,,,,,,5.1231,2.8618,9.2884,11.9859,6.3866,7.3359,8.9005,7.6108,7.1192,5.4438,5.3348,8.1582,9.3264,,,,,,3.3226,4.8206,6.6487,6.8284,3.1051,3.6833,6.8455,7.3692,4.8025,3.8073,1.7271,0.1523,0.3584,,,,,,4.7058,4.6755,6.4428,8.8186,8.2306,9.7572,6.7355,7.5087,6.2865,7.6836,8.1135,1.3157,0.6256,,
83,,,,,,,,,,,,,,,,9.6388,4.6478,4.5387,0.8188,4.3467,7.2038,6.4475,,,,,,,,,,,,,,,,,,5.0042,2.9941,9.4041,12.1331,6.2725,7.5410,8.8556,7.6667,7.3174,5.7520,5.7190,8.0810,9.3231,,,,,,3.4493,4.8298,6.8567,7.0122,3.1915,3.5615,7.0537,7.3783,4.8302,3.9549,0.8930,0.1421,0.4282,,,,,,4.7814,5.1275,6.5655,9.1285,8.4704,9.8223,7.2923,7.3371,6.0285,7.2289,6.3085,1.2687,0.7523,,
84,,,,,,,,,,,,,,,,10.1797,4.8838,4.3966,1.1156,4.6581,7.4177,6.0275,,,,,,,,,,,,,,,,,,4.9992,3.1929,9.6383,12.2205,6.1650,7.7829,8.8383,7.7342,7.6178,6.1940,6.8533,9.2873,9.5632,,,,,,3.5763,4.8857,7.1755,6.7013,3.3091,3.6000,7.2022,7.5023,4.8047,4.0075,1.1174,0.1165,0.3005,,,,,,4.8041,5.3642,6.6430,9.2777,8.6359,10.1764,7.8167,7.3399,6.0751,6.9754,5.3428,2.7204,1.6269,,
85,,,,,,,,,,,,,,,,10.4684,4.4694,4.2207,0.8974,4.9884,7.5782,5.9875,,,,,,,,,,,,,,,,,,5.0003,3.4324,9.8474,12.2933,6.1299,8.0630,8.8321,7.8940,7.6777,6.5547,7.0617,9.5775,9.1328,,,,,,3.7824,4.9363,7.4586,6.5687,3.3491,3.5224,7.3547,7.6215,4.7156,4.0351,0.7249,0.1137,0.1461,,,,,,4.8277,5.5307,6.7308,9.5086,8.8451,10.3209,8.1184,7.2964,6.0256,6.5963,4.5745,3.0212,1.3657,,
86,,,,,,,,,,,,,,,,8.9191,4.5612,4.0585,0.6806,5.2624,7.8585,6.2688,,,,,,,,,,,,,,,,,,5.1630,3.6132,10.1296,12.3028,6.2054,8.2375,8.9248,7.9764,7.7157,7.0435,6.8805,9.8956,9.7501,,,,,,3.8186,5.0326,7.7309,6.2611,3.7508,3.3392,7.2049,7.9020,4.6784,3.9758,0.5702,0.1649,0.1182,,,,,,4.8761,5.7344,6.9300,9.6396,9.0416,10.5237,8.6750,7.2682,5.8004,6.0415,4.2864,3.0770,1.3567,,
87,,,,,,,,,,,,,,,,6.9969,4.8909,3.8126,1.1056,5.5193,7.9199,6.5353,,,,,,,,,,,,,,,,,,5.3659,3.8414,10.4231,12.2550,6.2621,8.5562,8.9517,7.9970,7.7463,7.3323,6.5873,10.1997,10.7796,,,,,,3.9658,5.0524,7.8229,5.8969,4.0142,3.3534,7.2019,7.8857,4.6302,4.0194,0.2393,0.2064,0.1390,,,,,,4.8299,5.7330,7.0317,9.7320,9.2064,10.3836,8.6960,7.2862,5.4837,5.3953,4.0389,2.9374,1.4763,,
88,,,,,,,,,,,,,,,,5.9579,5.0807,3.6197,1.5979,5.7564,8.0133,6.8695,,,,,,,,,,,,,,,,,,5.5226,4.0172,10.5807,12.1908,6.3300,8.7803,9.0009,7.9771,7.8271,7.3881,6.6799,10.0741,11.7082,,,,,,4.0038,5.0476,7.9499,5.5558,3.9882,3.4138,7.1913,7.9656,4.5449,4.0194,0.1875,0.0754,0.2462,,,,,,4.8254,5.7854,7.1948,9.9004,9.3841,10.2618,8.7752,7.2077,5.0744,4.8285,3.5071,2.6019,1.3769,,
89,,,,,,,,,,,,,,,,5.6440,5.3161,3.4436,1.1790,6.1989,8.0410,6.8285,,,,,,,,,,,,,,,,,,5.7078,4.2457,10.7309,12.0929,6.5376,8.9746,9.0095,8.0489,7.9390,7.3089,7.1590,9.8048,11.7404,,,,,,4.2037,5.0368,8.1455,5.2439,3.8673,3.4485,7.1371,8.0018,4.4737,3.9146,0.0253,0.1632,0.1865,,,,,,4.7715,5.9455,7.2019,9.9742,9.5772,10.0331,8.9281,7.0792,4.6531,4.4105,2.9316,2.1454,0.7986,,
90,,,,,,,,,,,,,,,,5.4870,5.6681,3.1949,1.8339,6.6945,8.0158,7.3676,,,,,,,,,,,,,,,,,,5.9246,4.6240,10.8453,12.0007,6.8090,9.0956,9.0260,8.1712,7.9957,7.3557,7.6697,9.6717,10.9374,,,,,,4.2446,5.1204,8.2828,5.0723,4.0675,3.5156,7.2130,8.0077,4.4647,3.9556,0.0023,0.2129,0.2110,,,,,,4.8204,6.0467,7.4010,10.0816,9.7434,9.8424,8.9321,6.9021,4.2950,3.9853,2.7042,1.7908,0.2816,,
91,,,,,,,,,,,,,,,,5.0232,6.0800,2.9748,1.4769,6.6986,8.1281,7.7339,,,,,,,,,,,,,,,,,,6.3371,5.1512,11.0164,11.9417,7.1749,9.1250,9.0451,8.4267,8.0273,7.5239,8.0835,9.7741,10.0971,,,,,,4.3528,5.2359,8.8677,4.9552,4.0553,3.5828,7.4396,8.1196,4.5062,4.0591,0.0240,0.1872,0.3004,,,,,,4.9856,6.2125,7.5130,10.1460,9.9625,9.8152,8.8919,6.7622,4.1407,3.6323,2.4879,1.7012,0.4549,,
92,,,,,,,,,,,,,,,,4.8513,6.3142,2.7300,1.6266,6.6953,8.2026,7.8257,,,,,,,,,,,,,,,,,,6.7318,5.6779,11.1481,11.8620,7.4872,9.2220,9.0868,8.6675,8.0842,7.7137,8.3625,10.0525,9.0733,,,,,,4.5820,5.3085,9.2314,4.8703,3.8935,3.6619,7.5443,8.0439,4.4345,3.9857,0.0827,0.1319,0.2402,,,,,,5.1164,6.2351,7.6328,10.2450,10.1504,9.7743,8.7790,6.6764,3.9519,3.3471,2.1276,1.7996,0.8028,,
93,,,,,,,,,,,,,,,,4.7913,6.4653,2.5135,1.2851,6.7740,8.2247,7.7463,,,,,,,,,,,,,,,,,,7.1054,6.2186,11.3209,11.7887,7.7451,9.3583,9.0934,8.8772,8.2341,7.7111,8.6069,10.0529,8.5158,,,,,,4.7275,5.4477,9.4339,4.9735,5.0631,3.9982,7.7919,8.0337,4.4657,3.8566,0.1437,0.1471,0.2134,,,,,,5.3412,6.2686,7.7104,10.3805,10.3967,9.6876,8.5992,6.6153,3.6401,3.1950,1.7050,1.8586,0.7348,,
94,,,,,,,,,,,,,,,,4.8848,6.6102,2.4167,1.3532,7.0026,8.2926,8.1636,,,,,,,,,,,,,,,,,,7.4996,6.8055,11.4562,11.7442,7.9597,9.5256,9.0994,9.0549,8.4934,7.4921,8.9230,9.8079,7.9661,,,,,,4.7238,5.5345,9.4716,5.0768,5.4561,4.0968,7.9900,8.0297,4.5362,3.9306,0.1071,0.1065,0.2579,,,,,,5.5082,6.2755,7.9808,10.4637,10.6723,9.5942,8.4630,6.5469,3.3537,3.1414,1.2971,1.9464,0.3510,,
95,,,,,,,,,,,,,,,,4.9769,6.6398,2.3750,1.4456,7.1165,8.3102,8.3828,,,,,,,,,,,,,,,,,,7.9132,7.3792,11.5472,11.6633,8.0947,9.6689,9.0815,9.3042,8.7076,7.1028,9.1506,9.6670,7.5329,,,,,,4.9200,5.6632,9.5147,5.4053,5.7227,4.2204,8.2490,7.9882,4.5909,3.9260,0.0691,0.0535,0.2470,,,,,,5.6319,6.2834,8.2385,10.4525,10.9979,9.4853,8.2255,6.3992,3.1532,3.0019,0.9914,1.8807,0.1102,,
96,,,,,,,,,,,,,,,,4.9356,6.6533,2.3564,0.8249,7.4764,8.2499,8.3352,,,,,,,,,,,,,,,,,,8.5467,7.6869,11.8013,11.7312,8.2896,9.7458,9.1503,9.5376,8.8596,6.9710,9.0632,9.7149,7.3206,,,,,,5.2501,5.8218,9.4838,5.7895,5.8515,4.3861,8.4216,7.9298,4.5235,4.0203,0.1945,0.0425,0.3997,,,,,,5.8316,6.3768,8.4987,10.4720,11.2540,9.4800,7.9703,6.2536,3.0241,2.9147,0.7890,1.7711,0.0138,,
97,,,,,,,,,,,,,,,,4.8881,6.7013,2.2868,2.5063,7.5008,8.2470,8.0724,,,,,,,,,,,,,,,,,,9.0954,8.1020,11.9870,11.7605,8.5579,9.8328,9.2699,9.8691,8.9301,7.0419,8.9230,9.6440,7.2002,,,,,,5.6179,5.8793,9.5239,6.2485,5.9482,4.5085,8.7406,7.8646,4.5530,4.0989,0.0588,0.0110,0.4158,,,,,,6.0456,6.4227,8.7879,10.5183,11.5475,9.4428,7.7038,6.1245,2.9904,2.7283,0.5881,1.6218,0.0050,,
98,,,,,,,,,,,,,,,,4.9136,6.7787,2.1285,1.6796,7.4749,8.4097,7.7567,,,,,,,,,,,,,,,,,,9.4483,8.4772,12.1738,11.8181,8.7594,9.8969,9.4163,10.1568,8.8696,7.2775,8.6930,9.5312,7.0553,,,,,,5.6716,5.8593,9.6994,6.5132,5.6321,4.5559,8.9616,7.8058,4.6558,4.1343,0.0933,0.0256,0.4815,,,,,,6.2109,6.3719,9.0496,10.5643,11.7448,9.3016,7.4780,5.9946,3.0135,2.5580,0.4613,1.5307,0.0248,,
99,,,,,,,,,,,,,,,,4.8467,6.7084,1.9770,2.2801,7.5126,8.6314,7.2470,,,,,,,,,,,,,,,,,,9.4546,8.8085,12.2374,11.7343,8.8382,9.9275,9.5344,10.2823,8.7003,7.4723,8.6078,9.2296,6.8920,,,,,,5.3822,5.7674,9.9784,6.5218,5.3492,4.7516,9.0565,7.6347,4.5569,4.1616,0.0939,0.1251,0.6766,,,,,,6.1770,6.2672,9.1784,10.6728,11.8813,9.2355,7.2523,5.8477,3.1054,2.3937,0.3442,1.5362,0.0063,,
100,,,,,,,,,,,,,,,,4.8239,6.6598,1.8358,2.4029,7.4834,8.7845,7.1170,,,,,,,,,,,,,,,,,,9.1828,9.1136,12.3048,11.6229,8.8519,9.8677,9.6503,10.2493,8.5442,7.6415,8.5374,8.7797,6.8355,,,,,,5.3676,5.4969,9.9956,6.2153,5.0825,4.8171,9.1106,7.4628,4.4605,4.0822,0.0917,0.1596,0.5381,,,,,,5.9916,6.1500,9.1019,10.6654,11.9703,8.9675,7.0310,5.6869,3.1759,2.2665,0.2323,1.5660,0.0232,,
101,,,,,,,,,,,,,,,,4.7673,6.5713,1.7265,2.3516,8.4570,8.9810,7.2709,,,,,,,,,,,,,,,,,,9.2207,9.0420,12.3876,11.7139,8.8459,9.7536,9.7111,10.0992,8.4342,7.7143,8.6307,8.3845,6.5963,,,,,,5.7419,5.1096,9.8840,6.0631,4.7035,4.9902,9.0954,7.2105,4.4068,4.0277,0.1881,0.0744,0.6249,,,,,,5.9496,6.0769,9.1480,10.6682,12.1359,8.7372,6.8866,5.5003,3.1525,2.2992,0.1694,1.6764,0.0293,,
102,,,,,,,,,,,,,,,,4.6796,6.4692,1.5983,2.6908,9.9440,9.1247,8.7286,,,,,,,,,,,,,,,,,,9.3423,8.8589,12.5970,11.7745,8.7882,9.6308,9.6798,9.9166,8.2780,7.6901,8.5605,8.0767,6.3556,,,,,,5.7570,4.7132,9.7491,5.6699,4.4207,5.0053,9.0189,7.0115,4.3455,3.8832,0.1473,0.1756,0.6003,,,,,,5.7513,6.0151,9.0865,10.6419,12.1968,8.3911,6.7127,5.3049,3.1576,2.2918,0.0980,1.7101,0.0141,,
103,,,,,,,,,,,,,,,,4.5776,6.3769,1.4892,1.9489,10.7314,9.3273,9.5040,,,,,,,,,,,,,,,,,,9.8846,8.8747,12.8414,11.9175,8.8634,9.5344,9.6493,9.8041,8.1694,7.6403,8.4432,7.9625,5.9994,,,,,,5.4294,4.2902,9.7242,5.2788,4.3474,4.9039,9.0521,6.9462,4.2287,3.8074,0.0340,0.2526,0.7424,,,,,,5.6328,6.0582,9.1305,10.5845,12.2804,8.1351,6.6877,5.0707,3.1382,2.2745,0.0568,1.7931,0.0419,,
104,,,,,,,,,,,,,,,,4.5315,6.2144,1.3655,2.0105,10.0610,9.4717,9.3573,,,,,,,,,,,,,,,,,,10.4105,8.9713,13.0997,12.0837,8.9765,9.4369,9.5791,9.7627,7.9873,7.5962,8.2889,7.9617,5.6186,,,,,,5.0549,3.9098,9.8516,4.7882,4.3593,4.9172,9.1041,6.9265,4.2547,3.8505,0.1394,0.1080,0.5810,,,,,,5.6021,6.1932,9.0948,10.5861,12.4858,8.0444,6.5781,4.9474,3.1485,2.2506,0.0638,1.9001,0.0157,,
105,,,,,,,,,,,,,,,,4.4204,6.0299,1.2759,1.9432,8.9784,9.6537,9.2298,,,,,,,,,,,,,,,,,,10.7924,9.1105,13.3092,12.3497,9.1452,9.3896,9.5011,9.7814,7.7730,7.5320,8.1401,7.8945,5.3388,,,,,,5.2224,3.7273,9.6440,4.3692,4.6212,4.7716,9.2639,6.9003,4.3452,3.8108,0.1658,0.0951,0.8394,,,,,,5.7129,6.4511,9.1808,10.6142,12.6972,7.6415,6.4895,4.9980,3.0733,2.2090,0.0447,1.9289,0.0201,,
106,,,,,,,,,,,,,,,,4.4188,5.8362,1.1963,2.6564,7.7637,9.8395,9.3219,,,,,,,,,,,,,,,,,,11.1010,9.6441,13.5875,12.7377,9.3581,9.4655,9.5162,9.9535,7.6483,7.5537,8.1716,7.6893,5.1062,,,,,,5.7242,3.7111,9.3785,4.4451,4.8507,4.7317,9.7390,6.9211,4.3402,3.8748,0.2219,0.1583,0.6025,,,,,,6.0916,6.7647,9.4109,10.8419,13.0582,7.4424,6.4414,5.1642,3.0649,2.2269,0.0454,2.0486,0.0135,,
107,,,,,,,,,,,,,,,,4.5742,5.6337,1.1200,1.9508,6.9768,9.8108,9.8553,,,,,,,,,,,,,,,,,,11.4530,10.1601,13.8899,13.1143,9.5341,9.5264,9.5732,10.1393,7.5931,7.5186,8.2911,7.4212,4.9202,,,,,,6.1117,3.9581,8.8597,4.8383,5.0464,4.8674,10.0307,6.9323,4.4575,4.0301,0.1084,0.1372,0.6163,,,,,,6.3780,6.9614,9.5711,11.0308,13.3903,7.4474,6.3965,5.3424,3.0501,2.2548,0.0813,2.0756,0.0510,,
108,,,,,,,,,,,,,,,,4.7021,5.3851,1.0374,2.1458,6.5131,9.5187,9.8316,,,,,,,,,,,,,,,,,,11.7372,10.5596,14.1737,13.4487,9.6546,9.5678,9.5831,10.2194,7.4863,7.4076,8.2987,7.1562,4.7914,,,,,,6.1606,4.1841,8.2783,5.2349,5.0822,4.8627,10.1255,6.8906,4.4273,3.9575,0.1557,0.0645,0.7569,,,,,,6.6191,7.1309,9.6101,11.2382,13.5714,7.1002,6.2737,5.4507,2.9915,2.2126,0.0438,2.0318,0.0606,,
109,,,,,,,,,,,,,,,,4.7460,5.1709,0.6965,1.9572,6.3496,8.7732,10.1812,,,,,,,,,,,,,,,,,,11.9629,11.0966,14.3601,13.7060,9.6662,9.5550,9.5547,10.1937,7.3985,7.2229,8.1833,6.9432,4.6687,,,,,,6.0989,4.2209,7.7212,5.2277,5.2072,4.8028,10.0487,6.7761,4.4099,3.9795,0.0795,0.0803,0.7322,,,,,,6.6326,7.6035,9.5366,11.3954,13.6553,6.9578,6.1479,5.4901,2.9132,2.1699,0.0699,2.0906,0.0822,,
110,,,,,,,,,,,,,,,,4.7598,4.9322,0.6081,0.9106,5.9508,8.0322,9.9103,,,,,,,,,,,,,,,,,,12.0139,11.7557,14.4181,13.9496,9.6474,9.4957,9.5259,10.0833,7.4011,6.9732,7.9918,6.7729,4.5213,,,,,,5.9291,4.2096,7.0973,5.8326,5.2250,4.7945,9.9611,6.6485,4.2376,4.0144,0.1637,0.1318,0.8348,,,,,,6.6196,7.6692,9.3905,11.4626,13.6237,6.7689,5.9596,5.4970,2.8386,2.1274,0.0457,2.0542,0.1259,,
111,,,,,,,,,,,,,,,,4.6689,4.5973,0.4137,1.5412,5.5141,7.4869,9.2553,,,,,,,,,,,,,,,,,,11.9815,11.8646,14.4412,14.0423,9.6127,9.4851,9.5381,9.9253,7.2861,6.6443,7.5305,6.5562,4.5019,,,,,,5.6362,4.0053,6.7778,6.4090,5.1744,4.8151,9.7042,6.4034,4.1109,4.0063,0.2278,0.1324,0.8254,,,,,,6.3251,7.5432,9.2226,11.5574,13.3947,6.3077,5.8140,5.5691,2.8844,2.0625,0.0777,1.9509,0.2421,,
112,,,,,,,,,,,,,,,,4.3658,4.2949,0.3259,1.2013,5.2208,6.6424,8.3732,,,,,,,,,,,,,,,,,,12.1098,11.6792,14.4145,13.8478,9.5227,9.4175,9.4638,9.6355,7.1860,6.3618,7.0151,6.4420,4.5628,,,,,,5.2797,3.7758,6.3743,6.8531,5.2118,4.6384,9.3945,6.2088,3.9096,4.1197,0.1489,0.1704,0.8525,,,,,,6.1581,7.2916,9.0069,11.6131,13.1534,5.8052,5.5878,5.3845,2.7772,1.9806,0.0653,1.8648,0.2784,,
113,,,,,,,,,,,,,,,,4.0697,3.9489,0.2619,1.2031,4.9806,5.8252,7.1529,,,,,,,,,,,,,,,,,,12.2576,11.2014,14.2355,13.4651,9.3656,9.3149,9.3135,9.2372,6.9405,6.1250,6.4475,6.2999,4.5865,,,,,,4.8012,3.4424,6.0744,7.1331,5.1703,4.4885,9.1256,5.9349,3.7031,4.1208,0.1645,0.1529,1.0078,,,,,,6.0712,7.2101,8.6313,11.5559,12.6494,5.1716,5.4082,5.1687,2.5856,1.9037,0.0478,1.7988,0.2667,,
114,,,,,,,,,,,,,,,,3.7520,3.6616,0.2572,1.1474,4.6729,5.0961,5.7411,,,,,,,,,,,,,,,,,,12.1648,10.6123,13.9410,12.8460,9.1455,9.1109,8.9564,8.8095,6.4337,5.8787,5.9660,6.0857,4.5689,,,,,,4.1900,3.0872,5.7426,7.5697,5.0794,4.3546,8.6861,5.6569,3.5269,4.0442,0.1728,0.1381,0.8016,,,,,,5.5117,6.7981,8.2322,11.3196,11.9621,4.6750,5.1435,4.9700,2.4089,1.7482,0.0456,1.6115,0.4419,,
115,,,,,,,,,,,,,,,,3.3821,3.3910,0.2619,1.2297,4.2816,4.4576,4.4161,,,,,,,,,,,,,,,,,,11.8725,9.9675,13.4772,11.9391,8.8758,8.9112,8.4043,8.3514,5.7746,5.5307,5.5736,5.7936,4.5026,,,,,,3.6110,2.7785,5.5753,8.0426,4.8539,4.1440,8.0647,5.4385,3.3958,4.0629,0.0308,0.1390,0.9664,,,,,,4.8446,6.2632,7.9166,10.9005,11.1970,4.0877,4.8083,4.7625,2.2517,1.6328,0.0618,1.3838,0.8772,,
116,,,,,,,,,,,,,,,,3.2744,3.1316,0.2844,1.3538,4.1642,3.9125,3.7924,,,,,,,,,,,,,,,,,,11.3287,9.5382,12.9181,10.8569,8.5922,8.6344,7.7715,7.8905,5.1057,5.1154,5.2416,5.3986,4.4396,,,,,,2.9920,2.4715,5.3210,8.4024,4.6494,4.2454,7.4623,5.2039,3.1869,3.9208,0.0999,0.2727,1.0101,,,,,,4.1305,5.5937,7.5397,10.3909,10.4093,3.5564,4.4358,4.6547,2.1192,1.5047,0.0462,1.1395,1.0409,,
117,,,,,,,,,,,,,,,,3.2906,2.8782,0.2770,1.8403,4.0020,3.4767,3.3668,,,,,,,,,,,,,,,,,,10.5481,9.4182,12.1768,9.6233,8.2407,8.3816,7.0814,7.3731,4.4542,4.7859,4.8911,5.0585,4.2519,,,,,,2.3399,2.1660,5.2334,8.8351,4.2581,4.2914,6.9474,5.0536,3.2034,3.8645,0.1715,0.3014,0.9510,,,,,,3.4516,5.2049,7.1024,9.8486,9.7169,3.0638,4.0680,4.5388,2.0924,1.4122,0.0472,0.9016,1.5043,,
118,,,,,,,,,,,,,,,,3.3249,2.6821,0.2594,3.4399,3.7627,3.0715,3.1929,,,,,,,,,,,,,,,,,,9.6007,9.6778,11.3558,8.3701,7.9365,8.1228,6.4133,6.7905,3.8923,4.4972,4.5134,4.7391,3.9611,,,,,,1.8024,1.8631,5.1709,8.9148,3.8867,4.2844,6.5612,4.8589,3.1079,3.8212,0.0949,0.1031,0.9944,,,,,,2.9211,4.8282,6.8775,9.2700,9.0971,2.6016,3.7431,4.4513,2.1902,1.4367,0.0328,0.7629,1.5429,,
119,,,,,,,,,,,,,,,,3.5473,2.4516,0.2449,2.3842,3.6708,2.6251,3.6657,,,,,,,,,,,,,,,,,,8.7199,10.1134,10.3338,7.2128,7.7276,7.8437,5.8338,6.1753,3.4586,4.1891,4.0918,4.5044,3.6468,,,,,,1.3320,1.5681,5.0355,8.9367,3.5982,4.5590,6.3189,4.7271,3.1763,3.3803,0.1003,0.4116,1.0399,,,,,,2.3486,4.4961,6.6381,8.7598,8.4650,2.1771,3.4544,4.4021,2.4475,1.7005,0.0494,0.6898,1.7870,,
120,,,,,,,,,,,,,,,,3.7483,2.2607,0.2532,2.0337,3.6321,2.2353,2.0972,,,,,,,,,,,,,,,,,,7.9317,10.5322,9.4207,6.2535,7.5860,7.5225,5.3858,5.6135,3.1820,3.8051,3.7457,4.3352,3.3668,,,,,,0.9620,1.2921,4.9841,8.8128,3.3345,4.6393,6.1293,4.7020,3.2650,2.8774,0.1667,0.3438,1.1447,,,,,,1.8990,4.3720,6.4192,8.3945,7.8374,1.8119,3.1727,4.2994,2.7640,1.9691,0.0270,0.7410,2.3331,,
121,,,,,,,,,,,,,,,,3.5219,2.1763,0.3054,2.0586,3.4920,2.0976,2.0317,,,,,,,,,,,,,,,,,,6.6636,11.4421,9.2528,5.9111,7.6548,7.3857,5.3978,5.1723,3.2818,3.3564,3.7320,4.2393,3.1821,,,,,,0.8760,1.1756,4.7222,8.7608,3.4238,4.6838,6.2717,4.6915,3.4706,2.4400,0.0535,0.4895,1.3029,,,,,,2.2587,5.0151,6.4789,8.4649,7.3605,1.5066,2.9822,4.3366,3.1932,2.0945,0.0828,0.6865,2.6351,,
122,,,,,,,,,,,,,,,,3.4747,2.0468,0.2589,2.5490,3.4756,1.8547,2.4775,,,,,,,,,,,,,,,,,,4.8035,12.6227,9.8790,6.4378,7.8889,7.5473,5.7104,4.9852,3.7196,2.8436,3.8895,4.2595,3.0614,,,,,,0.9394,1.0245,4.4200,8.7247,3.3541,4.7856,6.5753,4.7452,3.4714,1.9889,0.0981,0.6714,1.6161,,,,,,2.6978,4.9002,6.7769,8.9919,7.1983,1.2960,2.9423,4.4366,3.3772,2.0929,0.1386,0.5952,2.7791,,
123,,,,,,,,,,,,,,,,3.3396,1.8251,0.2444,2.8056,3.3213,1.5731,2.0946,,,,,,,,,,,,,,,,,,3.6856,12.8218,10.0641,6.7715,7.9169,7.5295,5.7219,4.6385,3.8253,2.5285,3.8521,4.0561,3.0344,,,,,,0.9282,0.9101,4.0232,8.6844,3.2771,4.8164,6.3726,4.6773,3.5435,1.5873,0.0687,0.6859,1.8757,,,,,,3.0308,4.7447,6.8905,9.1357,6.7657,1.1699,2.8342,4.4526,3.3557,2.0095,0.1607,0.4913,2.6600,,
124,,,,,,,,,,,,,,,,3.0999,1.6002,0.1539,4.4877,3.0561,1.3176,1.5844,,,,,,,,,,,,,,,,,,3.1676,11.9174,9.8462,7.0001,7.5179,7.3671,5.5849,4.1179,3.6355,2.4080,3.6501,3.7427,3.1205,,,,,,0.8255,0.8347,3.9548,8.2712,3.1982,4.7421,5.7651,4.4960,3.4546,1.2156,0.0475,0.5676,2.2006,,,,,,3.5044,4.3202,6.8666,8.9226,6.1439,1.0604,2.6381,4.3760,3.2249,1.8833,0.1974,0.3504,2.5498,,
