# Age (Ma)	Mean CCD depth (m) 
0.0	-4224
0.5	-4218
1.0	-4153
1.5	-4053
2.0	-4239
4.0	-4162
4.5	-4373
5.0	-4233
5.5	-4199
6.0	-4192
6.5	-4243
7.0	-4362
7.5	-4358
8.0	-4124
8.5	-3953
9.0	-3995
9.5	-4055
10.0	-4196
10.5	-3874
11.0	-4102
11.5	-4216
12.0	-3919
12.5	-3751
13.5	-3779
14.0	-3855
14.5	-3698
15.0	-3720
15.5	-3936
16.0	-3938
16.5	-3947
17.0	-4051
17.5	-3870
18.0	-3628
18.5	-3722
19.0	-3928
19.5	-3818
20.0	-3777
20.5	-3773
21.0	-3841
21.5	-3746
22.0	-3736
22.5	-3758
23.0	-3937
23.5	-3975
24.0	-3791
25.5	-3603
26.0	-3615
26.5	-3619
27.5	-3568
28.0	-3807
28.5	-3759
30.5	-3792
