# Age_Ma	CCD_m
0.00	-4747.00
1.00	-4601.00
2.00	-4454.00
3.00	-4308.00
4.00	-4162.00
5.00	-4233.00
6.00	-4192.00
7.00	-4362.00
8.00	-4124.00
9.00	-3995.00
10.00	-4196.00
11.00	-4102.00
12.00	-3919.00
13.00	-3743.00
14.00	-3855.00
15.00	-3720.00
16.00	-3938.00
17.00	-4051.00
18.00	-3628.00
19.00	-3928.00
20.00	-3777.00
21.00	-3841.00
22.00	-3736.00
23.00	-3937.00
