# Age_Ma	Sea_level_m
27.800000	144.562234
27.900000	145.532207
28.000000	146.764516
28.100000	147.847715
28.200000	148.903443
28.300000	149.998436
28.400000	151.097055
28.500000	152.225224
28.600000	153.355459
28.700000	154.501517
28.800000	155.648797
28.900000	156.800515
29.000000	157.908019
29.100000	158.920523
29.200000	159.981212
29.300000	161.277165
29.400000	162.510722
29.500000	163.686025
29.600000	164.747966
29.700000	165.767978
29.800000	166.669067
29.900000	167.519902
30.000000	168.543783
30.100000	169.971435
30.200000	171.074402
30.300000	172.132061
30.400000	173.191179
30.500000	174.253873
30.600000	175.391487
30.700000	176.550292
30.800000	177.772449
30.900000	179.161287
31.000000	180.515735
31.100000	181.347475
31.200000	182.179214
31.300000	183.127451
31.400000	184.103757
31.500000	185.061798
31.600000	186.014472
31.700000	186.945296
31.800000	187.868241
31.900000	188.766413
32.000000	189.653513
32.100000	190.513730
32.200000	191.358858
32.300000	192.175966
32.400000	192.972972
32.500000	193.741994
32.600000	194.484704
32.700000	195.200858
32.800000	195.883073
32.900000	196.541803
33.000000	197.157297
33.100000	197.759805
33.200000	198.324061
33.300000	198.878959
33.400000	199.401355
33.500000	199.889654
33.600000	200.311616
33.700000	200.667481
33.800000	200.940889
33.900000	201.162725
34.000000	201.299624
34.100000	201.413733
34.200000	201.440810
34.300000	201.464775
34.400000	201.398013
34.500000	201.331251
34.600000	201.196651
34.700000	201.050663
34.800000	200.860079
34.900000	200.648351
35.000000	200.399007
35.100000	200.112198
35.200000	199.789845
35.300000	199.430782
35.400000	198.850413
35.500000	198.240430
35.600000	197.685985
35.700000	197.107520
35.800000	196.090882
35.900000	195.694944
36.000000	195.289875
36.100000	194.853504
36.200000	194.437845
36.300000	194.050172
36.400000	193.631629
36.500000	193.180954
36.600000	192.847249
36.700000	192.521380
36.800000	192.257440
36.900000	191.993501
37.000000	191.760979
37.100000	191.532102
37.200000	191.360190
37.300000	191.204029
37.400000	191.036199
37.500000	190.802235
37.600000	190.657563
37.700000	190.551157
37.800000	190.452669
37.900000	190.387935
38.000000	190.323200
38.100000	190.260012
38.200000	190.203417
38.300000	190.149389
38.400000	190.130599
38.500000	190.111809
38.600000	190.116535
38.700000	190.130693
38.800000	190.155550
38.900000	190.203451
39.000000	190.251352
39.100000	190.330086
39.200000	190.411457
39.300000	190.509618
39.400000	190.622869
39.500000	190.741229
39.600000	190.892767
39.700000	191.044306
39.800000	191.256631
39.900000	191.478649
40.000000	191.753666
40.100000	192.025170
40.200000	192.287177
40.300000	192.559228
40.400000	192.869331
40.500000	193.187600
40.600000	193.527283
40.700000	193.876735
40.800000	194.244723
40.900000	194.644175
41.000000	195.087762
41.100000	195.599041
41.200000	196.111466
41.300000	196.512428
41.400000	196.913323
41.500000	197.313184
41.600000	197.713045
41.700000	198.128777
41.800000	198.548360
41.900000	198.978443
42.000000	199.417075
42.100000	199.861345
42.200000	200.318698
42.300000	200.776966
42.400000	201.249463
42.500000	201.721959
42.600000	202.202162
42.700000	202.683946
42.800000	203.168759
42.900000	203.655584
43.000000	204.142728
43.100000	204.630408
43.200000	205.106558
43.300000	205.514711
43.400000	205.922865
43.500000	206.394379
43.600000	206.929255
43.700000	207.407581
43.800000	207.831904
43.900000	208.255290
44.000000	208.665027
44.100000	209.074764
44.200000	209.473136
44.300000	209.864352
44.400000	210.251935
44.500000	210.620438
44.600000	210.988941
44.700000	211.338304
44.800000	211.679580
44.900000	212.013070
45.000000	212.322225
45.100000	212.631381
45.200000	212.911386
45.300000	213.183077
45.400000	213.441828
45.500000	213.671732
45.600000	213.901637
45.700000	214.099714
45.800000	214.291594
45.900000	214.472085
46.000000	214.632369
46.100000	214.792653
46.200000	214.945986
46.300000	215.098378
46.400000	215.248861
46.500000	215.398459
46.600000	215.534732
46.700000	215.666900
46.800000	215.790690
46.900000	215.912938
47.000000	216.032897
47.100000	216.152685
47.200000	216.277404
47.300000	216.403154
47.400000	216.540279
47.500000	216.680669
47.600000	216.837746
47.700000	217.002097
47.800000	217.188831
47.900000	217.386794
48.000000	217.605499
48.100000	217.836564
48.200000	218.081195
48.300000	218.338764
48.400000	218.604829
48.500000	218.883385
48.600000	219.166524
48.700000	219.460685
48.800000	219.756637
48.900000	220.043971
49.000000	220.331174
49.100000	220.611513
49.200000	220.891852
49.300000	221.172537
49.400000	221.453243
49.500000	221.685448
49.600000	221.910980
49.700000	222.200745
49.800000	222.615197
49.900000	222.922698
50.000000	223.225476
50.100000	223.515964
50.200000	223.796710
50.300000	224.067344
50.400000	224.320577
50.500000	224.567634
50.600000	224.787702
50.700000	224.994740
50.800000	225.159717
50.900000	225.323065
51.000000	225.480909
51.100000	225.632087
51.200000	225.765929
51.300000	225.841885
51.400000	225.886698
51.500000	225.908603
51.600000	225.871731
51.700000	225.814903
51.800000	225.729219
51.900000	225.621393
52.000000	225.490965
52.100000	225.338236
52.200000	225.148533
52.300000	224.940991
52.400000	224.682566
52.500000	224.404746
52.600000	224.013846
52.700000	223.580676
52.800000	223.051763
52.900000	222.460269
53.000000	221.820905
53.100000	221.223642
53.200000	220.636904
53.300000	219.896328
53.400000	219.001913
53.500000	218.153493
53.600000	217.322400
53.700000	216.486065
53.800000	215.644576
53.900000	214.803088
54.000000	213.409488
54.100000	212.070517
54.200000	210.829610
54.300000	209.588133
54.400000	208.345931
54.500000	207.131326
54.600000	205.941731
54.700000	204.815261
54.800000	203.731262
54.900000	202.744281
55.000000	201.809922
55.100000	200.971448
55.200000	200.181153
55.300000	199.469722
55.400000	198.800655
55.500000	198.193648
55.600000	197.626473
55.700000	197.105956
55.800000	196.624141
55.900000	196.175587
56.000000	195.764799
56.100000	195.376155
56.200000	195.023786
56.300000	194.684936
56.400000	194.380216
56.500000	194.083564
56.600000	193.822057
56.700000	193.564374
56.800000	193.345552
56.900000	193.126730
57.000000	192.942129
57.100000	192.757789
57.200000	192.627189
57.300000	192.497132
57.400000	192.401493
57.500000	192.311720
57.600000	192.261088
57.700000	192.219577
57.800000	192.216910
57.900000	192.226023
58.000000	192.270036
58.100000	192.327409
58.200000	192.413773
58.300000	192.513855
58.400000	192.637717
58.500000	192.775285
58.600000	192.932095
58.700000	193.102274
58.800000	193.283063
58.900000	193.472673
59.000000	193.679857
59.100000	193.912332
59.200000	194.147728
59.300000	194.386553
59.400000	194.630741
59.500000	194.883131
59.600000	195.139211
59.700000	195.403275
59.800000	195.669284
59.900000	195.941512
60.000000	196.214517
60.100000	196.491550
60.200000	196.768714
60.300000	197.047256
60.400000	197.325778
60.500000	197.602549
60.600000	197.879320
60.700000	198.151340
60.800000	198.423036
60.900000	198.687458
61.000000	198.950708
61.100000	199.204658
61.200000	199.456071
61.300000	199.698249
61.400000	199.936640
61.500000	200.167543
61.600000	200.394081
61.700000	200.614721
61.800000	200.830597
61.900000	201.041942
62.000000	201.248259
62.100000	201.447867
62.200000	201.637154
62.300000	201.837242
62.400000	202.075623
62.500000	202.291708
62.600000	202.490241
62.700000	202.674252
62.800000	202.849932
62.900000	203.022965
63.000000	203.193652
63.100000	203.362496
63.200000	203.528841
63.300000	203.693841
63.400000	203.855965
63.500000	204.019338
63.600000	204.187329
63.700000	204.355199
63.800000	204.522672
63.900000	204.688670
64.000000	204.851290
64.100000	205.012056
64.200000	205.169715
64.300000	205.325119
64.400000	205.477693
64.500000	205.626348
64.600000	205.771282
64.700000	205.937092
64.800000	206.117423
64.900000	206.250161
65.000000	206.387317
65.100000	206.586740
65.200000	206.786163
65.300000	206.985587
65.400000	207.185010
65.500000	207.384434
65.600000	207.563153
65.700000	207.676016
65.800000	207.761947
65.900000	207.854646
66.000000	207.974037
66.100000	208.101464
66.200000	208.234860
66.300000	208.374659
66.400000	208.521353
66.500000	208.671703
66.600000	208.825589
66.700000	208.989032
66.800000	209.158115
66.900000	209.332480
67.000000	209.516187
67.100000	209.706221
67.200000	209.901696
67.300000	210.106140
67.400000	210.317343
67.500000	210.533921
67.600000	210.758813
67.700000	210.990911
67.800000	211.228351
67.900000	211.473554
68.000000	211.726517
68.100000	212.013863
68.200000	212.351151
68.300000	212.586032
68.400000	212.830694
68.500000	213.085538
68.600000	213.370304
68.700000	213.664478
68.800000	213.965742
68.900000	214.275987
69.000000	214.591710
69.100000	214.914920
69.200000	215.241642
69.300000	215.579097
69.400000	215.940992
69.500000	216.305854
69.600000	216.675203
69.700000	217.050850
69.800000	217.434964
69.900000	217.823503
70.000000	218.216464
70.100000	218.616423
70.200000	219.019616
70.300000	219.425972
70.400000	219.837011
70.500000	220.250419
70.600000	220.665819
70.700000	221.083772
70.800000	221.503024
70.900000	221.923107
71.000000	222.343925
71.100000	222.764687
71.200000	223.185123
71.300000	223.604780
71.400000	224.057364
71.500000	224.477879
71.600000	224.857416
71.700000	225.335562
71.800000	225.834986
71.900000	226.341671
72.000000	226.804074
72.100000	227.176529
72.200000	227.544037
72.300000	227.908903
72.400000	228.269724
72.500000	228.627135
72.600000	228.982492
72.700000	229.334493
72.800000	229.684362
72.900000	230.032750
73.000000	230.378675
73.100000	230.723500
73.200000	231.067402
73.300000	231.409952
73.400000	231.752188
73.500000	232.094052
73.600000	232.462660
73.700000	232.815678
73.800000	233.149789
73.900000	233.520711
74.000000	233.913336
74.100000	234.367637
74.200000	234.937264
74.300000	235.372072
74.400000	235.739502
74.500000	236.109982
74.600000	236.483013
74.700000	236.860895
74.800000	237.242803
74.900000	237.627985
75.000000	238.019078
75.100000	238.413948
75.200000	238.811471
75.300000	239.212299
75.400000	239.614423
75.500000	240.017226
75.600000	240.420061
75.700000	240.821628
75.800000	241.221898
75.900000	241.619015
76.000000	242.012208
76.100000	242.402128
76.200000	242.785772
76.300000	243.162739
76.400000	243.534447
76.500000	243.896790
76.600000	244.249610
76.700000	244.595167
76.800000	244.928265
76.900000	245.248911
77.000000	245.560269
