# Age_Ma	CCD_m
0.00	-4916.00
1.00	-4817.02
2.00	-4718.93
3.00	-4624.69
4.00	-4689.33
5.00	-4591.11
6.00	-4293.84
7.00	-4206.58
8.00	-4436.75
9.00	-4007.50
10.00	-4160.02
11.00	-3661.50
12.00	-4062.36
13.00	-4113.44
14.00	-4057.17
15.00	-3921.67
16.00	-3762.01
17.00	-3826.50
18.00	-4245.78
19.00	-3751.69
20.00	-3964.23
21.00	-4261.12
22.00	-4115.09
23.00	-4064.32
24.00	-4041.06
25.00	-4060.76
26.00	-4208.97
27.00	-4168.00
28.00	-4067.50
29.00	-3874.00
30.00	-4634.30
31.00	-4192.08
32.00	-4367.54
33.00	-4179.63
34.00	-4450.33
35.00	-4201.20
36.00	-4486.67
37.00	-4436.67
38.00	-4533.41
39.00	-4190.11
40.00	-4034.76
41.00	-3889.22
42.00	-4235.60
43.00	-3933.63
44.00	-4162.43
45.00	-4172.92
46.00	-4220.05
47.00	-4383.77
48.00	-4502.74
49.00	-4277.73
50.00	-4126.29
51.00	-4367.58
52.00	-4532.48
53.00	-4403.54
54.00	-4268.30
55.00	-4490.94
56.00	-4618.80
57.00	-4578.98
58.00	-4944.00
59.00	-3003.29
60.00	-3059.19
61.00	-4839.20
62.00	-4350.67
63.00	-3241.70
64.00	-4773.93
65.00	-4163.79
