,crust,crust,crust,lithosphere,lithosphere,lithosphere,sediments,sediments,sediments,serpentinite,serpentinite,serpentinite,organic_sediments,organic_sediments,organic_sediments,total,total,total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max
time,,,,,,,,,,,,,,,,,,
78,1783568302.896861,2108512928.2081122,2508894231.1369824,782332352.3285853,1358751687.7281709,2031163576.289442,2624982808.450736,2624982808.450736,2624982808.450736,114476217.34283385,129018293.98619801,219187325.17387402,0.0,210212548.4216325,461111396.53777444,5305359681.019015,6431478266.79485,7845339337.588808
79,1778706189.5094495,2102370161.4832592,2501189369.874237,783475401.2746625,1358103076.0933545,2027432308.6645832,2603097765.1267185,2603097765.1267185,2603097765.1267185,113878412.15487976,128299916.82381359,218053835.65958226,0.0,208208576.16136733,456715586.4184832,5279157768.06571,6400079495.688513,7806488865.743604
80,1773037348.887688,2095283752.4935548,2492372080.1818886,784664659.5424253,1357703184.6348534,2025243696.4493365,2586324417.780314,2586324417.780314,2586324417.780314,112641566.89510098,126958370.17394412,216301902.29499376,0.0,205861021.29101378,451566111.21899796,5256667993.105528,6372130746.37368,7771808207.92553
81,1767947199.592215,2088955411.9394104,2484546002.4367104,785938287.1283758,1356811226.4559045,2021413024.9600575,2559493364.705001,2559493364.705001,2559493364.705001,111895430.777259,126050658.36206523,215003480.3336935,0.0,204815778.68604514,449273320.98874414,5225274282.20285,6336126440.148426,7729729193.424206
82,1765696151.2264981,2086013894.7581372,2480773520.4258976,786798161.0426369,1356630289.0196114,2019250008.5204074,2546889272.1270123,2546889272.1270123,2546889272.1270123,111425402.08160838,125452206.41828583,213992235.73669013,0.0,203174075.59184074,445672165.8143603,5210808986.477756,6318159737.914886,7706577202.624369
83,1762236977.8909936,2081631946.1949677,2475287913.183565,788983244.4631491,1356419959.1556904,2017773552.5497696,2535535091.592044,2535535091.592044,2535535091.592044,110404336.32090363,124342007.79355025,212528199.09379494,0.0,202126295.24837208,443373808.9319129,5197159650.26709,6300055299.984625,7684498565.351086
84,1761166259.8161774,2079486088.0653481,2471948996.8676376,790759436.459407,1353994802.2874823,2007648697.097756,2527134520.8794775,2527134520.8794775,2527134520.8794775,108516810.53935713,122163532.46063916,209734563.04032737,0.0,200869470.77896863,440616903.64418924,5187577027.694419,6283648414.471915,7657083681.5293865
85,1759931297.861466,2078359820.790279,2470902259.1142597,792545104.0666049,1352454893.844479,1999237146.6978078,2514836512.2326055,2514836512.2326055,2514836512.2326055,106111032.87156402,119505057.84760061,206734754.1410469,0.0,200869470.77896863,440616903.64418924,5173423947.032241,6266025755.493933,7632327575.829907
86,1759127031.37811,2077670911.5534964,2470324300.7129297,795175100.07144,1351856949.5808392,1998182570.4198592,2507744811.2371225,2507744811.2371225,2507744811.2371225,105540295.28414181,118855425.24719274,205817477.83453387,0.0,200869470.77896863,440616903.64418924,5167587237.970814,6256997568.397619,7622686063.848634
87,1759118806.7722802,2076789382.5196204,2468486431.04465,797949724.1265045,1351853902.307378,1991397995.0387049,2491450244.2395144,2491450244.2395144,2491450244.2395144,104107726.02306211,117343664.72925879,203639423.80672884,0.0,200869470.77896863,440616903.64418924,5152626501.161361,6238306664.57474,7595590997.7737875
88,1758432228.3753333,2075693451.5128303,2466931834.2817144,800108774.6907513,1349755723.0559647,1983080268.9817119,2464135445.2284155,2464135445.2284155,2464135445.2284155,101975954.43301262,114953747.06514993,200460775.6950494,0.0,200210984.7296449,439172482.63276947,5124652402.727513,6204749351.592006,7553780806.81966
89,1756893195.2869282,2074608801.4511876,2466289673.843503,802529121.7884364,1349306015.2260458,1980600343.278562,2457713531.7047873,2457713531.7047873,2457713531.7047873,101155376.07441983,113973667.546316,198831825.5133669,0.0,200210984.7296449,439172482.63276947,5118291224.854571,6195813000.657982,7542607856.972988
