# Age_Ma	SL_envelope_m
39.300	96.021
39.400	97.254
39.500	98.486
39.600	99.659
39.700	100.807
39.800	101.617
39.900	102.079
40.000	102.285
40.100	102.285
40.200	102.285
40.300	102.285
40.400	102.285
40.500	101.908
40.600	101.098
40.700	100.252
40.800	99.347
40.900	98.443
41.000	97.539
41.100	96.634
41.200	95.730
41.300	94.872
41.400	94.024
41.500	93.178
41.600	92.368
41.700	91.724
41.800	91.153
41.900	90.760
42.000	90.780
42.100	91.310
42.200	91.925
42.300	92.612
42.400	93.298
42.500	93.985
42.600	94.672
42.700	95.359
42.800	96.000
42.900	96.630
43.000	97.258
43.100	97.851
43.200	98.277
43.300	98.630
43.400	98.806
43.500	98.945
43.600	99.007
43.700	99.022
43.800	99.022
43.900	99.022
44.000	99.022
44.100	99.007
44.200	98.933
44.300	98.712
44.400	98.476
44.500	98.166
44.600	97.856
44.700	97.546
44.800	97.236
44.900	96.926
45.000	96.616
45.100	96.306
45.200	95.996
45.300	95.686
45.400	95.435
45.500	95.183
45.600	94.947
45.700	94.788
45.800	94.775
45.900	94.779
46.000	95.114
46.100	95.470
46.200	95.934
46.300	96.424
46.400	97.106
46.500	98.239
46.600	99.566
46.700	101.225
46.800	103.345
46.900	105.688
47.000	108.032
47.100	110.375
47.200	112.700
47.300	115.026
47.400	117.350
47.500	119.460
47.600	121.607
47.700	123.977
47.800	126.384
47.900	128.688
48.000	130.621
48.100	132.424
48.200	133.895
48.300	134.905
48.400	135.634
48.500	136.362
48.600	137.090
48.700	137.818
48.800	138.546
48.900	139.274
49.000	139.960
49.100	140.587
49.200	140.883
49.300	141.116
49.400	141.261
49.500	141.326
49.600	141.326
49.700	141.326
49.800	141.326
49.900	141.326
50.000	141.196
50.100	141.047
50.200	140.733
50.300	140.108
50.400	139.412
50.500	138.701
50.600	137.990
50.700	137.278
50.800	136.567
50.900	135.856
51.000	135.144
51.100	134.433
51.200	133.722
51.300	133.015
51.400	132.308
51.500	131.731
51.600	131.255
51.700	131.001
51.800	131.084
51.900	131.238
52.000	131.535
52.100	132.108
52.200	132.900
52.300	133.840
52.400	134.780
52.500	135.720
52.600	136.660
52.700	137.600
52.800	138.535
52.900	139.470
53.000	140.405
53.100	141.259
53.200	142.056
53.300	142.826
53.400	143.597
53.500	144.239
53.600	144.606
53.700	144.753
53.800	144.753
53.900	144.753
54.000	144.753
54.100	144.753
54.200	144.634
54.300	144.359
54.400	143.795
54.500	142.939
54.600	141.766
54.700	140.032
54.800	138.248
54.900	136.464
55.000	134.680
55.100	133.079
55.200	131.522
55.300	129.964
55.400	128.406
55.500	126.849
55.600	125.451
55.700	124.201
55.800	123.441
55.900	123.252
56.000	123.551
56.100	124.590
56.200	126.190
56.300	127.839
56.400	129.488
56.500	131.137
56.600	132.604
56.700	134.027
56.800	135.450
56.900	136.873
57.000	138.296
57.100	139.559
57.200	140.793
57.300	141.693
57.400	142.312
57.500	142.734
57.600	142.734
57.700	142.734
57.800	142.734
57.900	142.734
58.000	142.678
58.100	142.559
58.200	141.713
58.300	140.572
58.400	139.430
58.500	138.248
58.600	137.106
58.700	135.965
58.800	135.123
58.900	134.363
59.000	133.796
59.100	133.230
59.200	132.701
59.300	132.199
59.400	131.705
59.500	131.429
59.600	131.595
59.700	132.615
59.800	133.945
59.900	135.293
60.000	136.791
60.100	138.270
60.200	139.760
60.300	140.986
60.400	142.180
60.500	143.180
60.600	144.180
60.700	145.143
60.800	146.287
60.900	147.461
61.000	148.510
61.100	149.402
61.200	150.394
61.300	151.694
61.400	153.040
61.500	154.474
61.600	156.098
61.700	157.927
61.800	159.919
61.900	162.011
62.000	164.164
62.100	166.318
62.200	168.472
62.300	170.416
62.400	172.323
62.500	174.194
62.600	175.843
62.700	177.263
62.800	178.361
62.900	179.397
63.000	180.234
63.100	180.860
63.200	181.269
63.300	181.480
63.400	181.548
63.500	181.555
63.600	181.562
63.700	181.569
63.800	181.576
63.900	181.583
64.000	181.590
64.100	181.573
64.200	181.537
64.300	181.501
64.400	181.464
64.500	181.483
64.600	181.537
64.700	181.592
64.800	181.646
64.900	181.695
65.000	181.742
65.100	181.790
65.200	181.837
65.300	181.885
65.400	181.934
65.500	182.243
65.600	182.936
65.700	184.063
65.800	185.437
65.900	186.957
66.000	188.421
66.100	189.850
66.200	191.279
66.300	192.708
66.400	194.137
66.500	195.566
66.600	196.995
66.700	198.423
66.800	199.852
66.900	201.279
67.000	202.446
67.100	203.253
67.200	203.646
67.300	203.812
67.400	203.839
67.500	203.866
67.600	203.893
67.700	203.920
67.800	203.947
67.900	204.143
68.000	204.447
68.100	204.886
68.200	205.373
68.300	205.861
68.400	206.348
68.500	206.835
68.600	207.323
68.700	207.810
68.800	208.277
68.900	208.737
69.000	209.198
69.100	209.771
69.200	210.348
69.300	211.172
69.400	211.942
69.500	212.607
69.600	213.135
69.700	213.615
69.800	214.095
69.900	214.575
70.000	215.055
70.100	215.535
70.200	216.015
70.300	216.495
70.400	216.983
70.500	217.523
70.600	217.961
70.700	218.552
70.800	218.897
70.900	219.125
71.000	219.353
71.100	219.581
71.200	219.810
71.300	220.038
71.400	220.266
71.500	220.494
71.600	220.722
71.700	220.950
71.800	221.178
71.900	221.398
72.000	221.566
72.100	221.724
72.200	221.724
72.300	221.785
72.400	221.860
72.500	221.956
72.600	222.095
72.700	222.233
72.800	222.371
72.900	222.510
73.000	222.648
73.100	222.786
73.200	222.925
73.300	223.063
73.400	223.201
73.500	223.340
73.600	223.478
73.700	223.616
73.800	223.694
73.900	223.823
74.000	223.936
74.100	224.066
74.200	224.195
74.300	224.325
74.400	224.455
74.500	224.585
74.600	224.715
74.700	224.845
74.800	224.975
74.900	225.105
75.000	225.235
75.100	225.365
75.200	225.495
75.300	225.701
75.400	225.840
75.500	226.023
75.600	226.157
75.700	226.291
75.800	226.425
75.900	226.559
76.000	226.693
76.100	226.816
76.200	226.939
76.300	227.062
76.400	227.185
76.500	227.308
76.600	227.431
76.700	227.553
76.800	227.601
76.900	227.648
77.000	227.648
77.100	227.636
77.200	227.625
77.300	227.614
77.400	227.603
77.500	227.562
77.600	227.435
77.700	227.146
77.800	226.743
77.900	226.338
78.000	225.856
78.100	225.374
78.200	224.892
78.300	224.409
78.400	223.927
78.500	223.445
78.600	223.041
78.700	222.636
78.800	222.232
78.900	221.827
79.000	221.452
79.100	221.175
79.200	221.060
79.300	220.976
79.400	220.837
79.500	220.729
79.600	220.622
79.700	220.514
79.800	220.407
79.900	220.340
80.000	220.274
80.100	220.129
80.200	219.984
80.300	219.840
80.400	219.695
80.500	219.550
80.600	219.406
80.700	219.234
80.800	219.056
80.900	218.934
81.000	218.858
81.100	218.782
81.200	218.706
81.300	218.630
81.400	218.513
81.500	218.397
81.600	218.280
81.700	218.164
81.800	218.047
81.900	217.849
82.000	217.579
82.100	217.269
82.200	216.944
82.300	216.708
82.400	216.471
82.500	216.235
82.600	215.999
82.700	215.763
82.800	215.527
82.900	215.291
83.000	215.054
83.100	214.818
83.200	214.582
83.300	214.264
83.400	213.966
83.500	213.702
83.600	213.455
83.700	213.251
83.800	213.047
83.900	212.844
84.000	212.640
84.100	212.436
84.200	212.232
84.300	212.029
84.400	211.825
84.500	211.621
84.600	211.418
84.700	211.087
84.800	210.831
84.900	210.561
85.000	210.330
85.100	210.120
85.200	209.910
85.300	209.700
85.400	209.566
85.500	209.439
85.600	209.355
85.700	209.270
85.800	209.185
85.900	209.101
86.000	209.016
86.100	208.931
86.200	208.973
86.300	209.022
86.400	209.147
86.500	209.273
86.600	209.398
86.700	209.523
86.800	209.648
86.900	209.697
87.000	209.815
87.100	209.904
87.200	210.006
87.300	210.275
87.400	210.543
87.500	210.812
87.600	211.081
87.700	211.350
87.800	211.618
87.900	211.887
88.000	212.156
88.100	212.425
88.200	212.694
88.300	212.962
88.400	213.268
88.500	213.520
88.600	214.185
88.700	215.151
88.800	216.088
88.900	217.024
89.000	217.961
89.100	218.897
89.200	219.833
89.300	220.770
89.400	221.706
89.500	222.642
89.600	223.579
89.700	224.515
89.800	225.451
89.900	226.350
90.000	227.228
