component,ccd_independent,is_sink,r,r_min_scenario,r_max_scenario,n_effective,p_ar1
Sea level,True,False,0.8610602062253621,0.8610602062253621,0.8610602062253621,3.0,0.3396018666707588
Mid-ocean ridge,True,False,0.5217638565587497,0.41029610755972523,0.5799388925142427,3.0,0.6505484217045694
Rift,True,False,-0.5572886835476324,-0.5572886835476325,-0.5572886835476324,3.0,0.6236833471932433
Carbonate platform,True,False,-0.7670755659668036,-0.7670755659668036,-0.679533748493729,3.0,0.4434222372121696
Arc (subduction),False,False,-0.852777952579378,-0.8590515374786954,-0.8002309841619137,3.0,0.3498320807023308
Total outflux,False,False,-0.8186947313756382,-0.8186947313756382,-0.7815203918257079,3.0,0.38939617770258195
Altered oceanic crust,True,True,-0.36093772681440195,-0.42187781280290076,-0.34764618221136806,3.0,0.7649133755056257
