Age_Ma,volume_1e6km3_mean,area_1e6km2_mean,volume_1e6km3_min,area_1e6km2_min,volume_1e6km3_max,area_1e6km2_max
97,0.0091,0.0003,0.0081,0.0003,0.0100,0.0003
98,0.0090,0.0003,0.0080,0.0003,0.0100,0.0003
99,0.0089,0.0003,0.0079,0.0003,0.0099,0.0003
100,0.0088,0.0003,0.0079,0.0003,0.0098,0.0003
101,0.0088,0.0003,0.0078,0.0003,0.0097,0.0003
102,0.0086,0.0003,0.0077,0.0003,0.0095,0.0003
103,0.0085,0.0003,0.0076,0.0003,0.0094,0.0003
104,0.0083,0.0003,0.0074,0.0003,0.0092,0.0003
105,0.0081,0.0003,0.0072,0.0003,0.0090,0.0003
106,0.0079,0.0003,0.0070,0.0003,0.0087,0.0003
107,0.0077,0.0003,0.0068,0.0003,0.0085,0.0003
108,0.0074,0.0003,0.0066,0.0003,0.0082,0.0003
109,0.0072,0.0003,0.0064,0.0003,0.0079,0.0003
110,0.0069,0.0003,0.0062,0.0003,0.0076,0.0003
111,0.0067,0.0003,0.0060,0.0003,0.0074,0.0003
112,0.0064,0.0003,0.0057,0.0003,0.0071,0.0003
113,0.0062,0.0003,0.0055,0.0003,0.0068,0.0003
114,0.0059,0.0003,0.0053,0.0003,0.0065,0.0003
115,0.0056,0.0003,0.0050,0.0003,0.0062,0.0003
116,0.0054,0.0003,0.0048,0.0003,0.0059,0.0003
117,0.0051,0.0003,0.0046,0.0003,0.0056,0.0003
118,0.0049,0.0003,0.0044,0.0003,0.0054,0.0003
119,0.0047,0.0003,0.0042,0.0003,0.0051,0.0003
120,0.0045,0.0003,0.0040,0.0003,0.0049,0.0003
121,0.0044,0.0003,0.0039,0.0003,0.0048,0.0003
122,0.0042,0.0003,0.0037,0.0003,0.0046,0.0003
123,0.0039,0.0003,0.0035,0.0003,0.0043,0.0003
124,0.0037,0.0003,0.0033,0.0003,0.0041,0.0003
125,0.0036,0.0003,0.0032,0.0003,0.0039,0.0003
126,0.0035,0.0003,0.0032,0.0003,0.0039,0.0003
127,0.0034,0.0003,0.0031,0.0003,0.0038,0.0003
128,0.0033,0.0003,0.0029,0.0003,0.0036,0.0003
129,0.0031,0.0003,0.0028,0.0003,0.0034,0.0003
130,0.0029,0.0003,0.0026,0.0003,0.0032,0.0003
131,0.0027,0.0003,0.0024,0.0003,0.0030,0.0003
132,0.0025,0.0003,0.0022,0.0003,0.0027,0.0003
133,0.0023,0.0003,0.0020,0.0003,0.0025,0.0003
134,0.0020,0.0003,0.0018,0.0003,0.0022,0.0003
135,0.0017,0.0003,0.0016,0.0003,0.0019,0.0003
136,0.0015,0.0003,0.0013,0.0003,0.0016,0.0003
137,0.0012,0.0003,0.0011,0.0003,0.0013,0.0003
138,0.0010,0.0003,0.0009,0.0003,0.0011,0.0003
139,0.0008,0.0003,0.0008,0.0003,0.0009,0.0003
140,0.0007,0.0003,0.0006,0.0003,0.0007,0.0003
141,0.0006,0.0003,0.0005,0.0003,0.0006,0.0003
142,0.0004,0.0003,0.0004,0.0003,0.0004,0.0003
143,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
144,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
145,0.0002,0.0003,0.0002,0.0003,0.0002,0.0003
146,0.0002,0.0003,0.0002,0.0003,0.0002,0.0003
147,0.0002,0.0003,0.0002,0.0003,0.0002,0.0003
148,0.0002,0.0003,0.0002,0.0003,0.0002,0.0003
149,0.0002,0.0003,0.0002,0.0003,0.0002,0.0003
150,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
151,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
152,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
153,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
154,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
155,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
156,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
157,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
158,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
159,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
160,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
161,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
162,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003
163,0.0000,0.0003,0.0000,0.0003,0.0000,0.0003
164,0.0000,0.0003,0.0000,0.0003,0.0000,0.0003
165,0.0000,0.0003,0.0000,0.0003,0.0000,0.0003
166,0.0000,0.0003,0.0000,0.0003,0.0000,0.0003
167,0.0000,0.0003,0.0000,0.0003,0.0000,0.0003
168,0.0000,0.0003,0.0000,0.0003,0.0000,0.0003
169,0.0000,0.0003,0.0000,0.0003,0.0000,0.0003
170,0.0000,0.0003,0.0000,0.0003,0.0000,0.0003
