,stored_sediments,stored_sediments,stored_sediments,stored_serpentinite,stored_serpentinite,stored_serpentinite,stored_crust,stored_crust,stored_crust,stored_mantlelit,stored_mantlelit,stored_mantlelit,stored_total,stored_total,stored_total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max
age,,,,,,,,,,,,,,,
0,12.230312390320996,13.230312390320996,14.230312390320996,2.4752741593390684,2.4752741593390684,2.4752741593390684,18.76436707775925,22.324508254015555,24.822618108923482,6.902409771257881,13.738195557644582,15.5898175287643,40.372363398677194,51.768290361320204,57.11802218734785
1,12.230312390320996,13.230312390320996,14.230312390320996,2.4752741593390684,2.4752741593390684,2.4752741593390684,18.76436707775925,22.324508254015555,24.822618108923482,6.902409771257881,13.738195557644582,15.5898175287643,40.372363398677194,51.768290361320204,57.11802218734785
2,12.230312390320996,13.230312390320996,14.230312390320996,2.5933846143863217,2.5933846143863217,2.5933846143863217,19.515861125202942,23.199848218915307,26.204294552671485,6.9319459161631585,14.041199110280427,16.24429289792697,41.27150404607342,53.06474433390305,59.27228445530578
3,12.176524561279836,13.176524561279836,14.176524561279836,2.5980677039828195,2.5980677039828195,2.5980677039828195,19.625545496416095,23.31911090905401,26.43041265545588,6.9319459161631585,14.041199110280427,16.24429289792697,41.33208367784191,53.13490228459709,59.449297818645505
4,12.176524561279836,13.176524561279836,14.176524561279836,2.5933846143863217,2.5933846143863217,2.5933846143863217,19.625545496416095,23.31911090905401,26.309799927598245,7.257976644227008,13.953754499487111,15.886396407953082,41.65343131630926,53.04277458420728,58.96610551121749
5,11.584149850392782,12.584149850392782,13.584149850392782,2.5933846143863217,2.5933846143863217,2.5933846143863217,19.69559117065683,23.404489398640727,26.35101836626731,7.333378037068155,13.953754499487111,16.031291665097537,41.20650367250409,52.535778362906946,58.55984449614395
6,10.917054563439672,11.917054563439672,12.917054563439672,2.5933846143863217,2.5933846143863217,2.5933846143863217,19.75746818780095,23.52046664655306,26.35101836626731,7.412763383650728,14.041199110280427,16.031291665097537,40.68067074927767,52.07210493465948,57.89274920919084
7,9.771124150117735,10.771124150117735,11.771124150117735,2.5933846143863217,2.5933846143863217,2.5933846143863217,19.838858756496048,23.600410086210644,26.35101836626731,7.614937722778032,14.041199110280427,15.886396407953082,39.818305243778134,51.00611796099513,56.60192353872445
8,9.113882401203957,10.113882401203957,11.113882401203957,2.5933846143863217,2.5933846143863217,2.5933846143863217,19.838858756496048,23.600410086210644,26.35101836626731,7.653014625117055,14.041199110280427,15.886396407953082,39.19914039720338,50.34887621208135,55.94468178981067
9,8.634786187383714,9.634786187383714,10.634786187383714,2.5933846143863217,2.5933846143863217,2.5933846143863217,20.00727807704451,23.777076979113673,26.35101836626731,7.678744076681664,14.041199110280427,15.886396407953082,38.914192955496205,50.04644689116414,55.46558557599043
10,8.005941854369851,9.005941854369851,10.005941854369851,2.597345682651724,2.597345682651724,2.597345682651724,20.157564625148705,23.98076898931539,26.419291818473983,7.678744076681664,14.06977883002672,15.886396407953082,38.43959623885195,49.653835356363686,54.90897576344864
11,6.76659406229725,7.76659406229725,8.76659406229725,2.597345682651724,2.597345682651724,2.597345682651724,20.157564625148705,23.98076898931539,26.419291818473983,7.678744076681664,14.06977883002672,15.886396407953082,37.20024844677934,48.414487564291086,53.669627971376045
12,6.76659406229725,7.76659406229725,8.76659406229725,2.597345682651724,2.597345682651724,2.597345682651724,20.157564625148705,23.98076898931539,26.419291818473983,7.757626766258763,14.06977883002672,15.886396407953082,37.27913113635644,48.414487564291086,53.669627971376045
13,6.76659406229725,7.76659406229725,8.76659406229725,2.597345682651724,2.597345682651724,2.597345682651724,20.232950974011462,24.065290618030605,26.419291818473983,8.000705843603306,14.138956096568602,16.031291665097537,37.597596562563744,48.56818645954819,53.8145232285205
14,6.76659406229725,7.76659406229725,8.76659406229725,2.618939131136207,2.618939131136207,2.618939131136207,20.582246112267725,24.489952651612754,26.883122141114324,8.342496668742216,14.609080705213149,16.19249315960209,38.3102759744434,49.48456655025936,54.46114849414987
15,6.76659406229725,7.76659406229725,8.76659406229725,2.74665422720063,2.74665422720063,2.74665422720063,21.214286399544317,25.220145758526836,27.79781601887352,8.373599688797302,14.628173940509312,16.521485309683722,39.1011343778395,50.36156798853403,55.832549618055126
16,7.816786587240031,8.816786587240031,9.816786587240031,2.769642262988882,2.769642262988882,2.769642262988882,21.534788854582107,25.641624052759266,28.540845551481485,8.552880503054636,14.869336601526498,17.227711753700532,40.674098207865654,52.09738950451468,58.35498615541093
17,7.816786587240031,8.816786587240031,9.816786587240031,2.878719645273031,2.878719645273031,2.878719645273031,22.0530002624014,26.250650825724275,29.374029466741572,8.556639104644782,14.99418854552745,17.737991350888294,41.305145599559246,52.94034560376478,59.80752705014292
18,7.816786587240031,8.816786587240031,9.816786587240031,2.9196269884696235,2.9196269884696235,2.9196269884696235,22.248302282287806,26.49181994566722,30.49100449398247,8.566970235350063,15.139375499127768,18.330504587156838,41.55168609334752,53.367609020504645,61.55792265684896
19,7.816786587240031,8.816786587240031,9.816786587240031,2.9495647109650296,2.9495647109650296,2.9495647109650296,22.248302282287806,26.49181994566722,30.49100449398247,8.649916275449849,15.235550150230669,18.330504587156838,41.664569855942716,53.49372139410295,61.58786037934437
20,7.816786587240031,8.816786587240031,9.816786587240031,2.9495647109650296,2.9495647109650296,2.9495647109650296,22.248302282287806,26.49181994566722,30.49100449398247,8.649916275449849,15.235550150230669,18.330504587156838,41.664569855942716,53.49372139410295,61.58786037934437
21,7.848385168401123,8.848385168401123,9.848385168401123,2.9511977038820887,2.9511977038820887,2.9511977038820887,22.29148572105961,26.55466440676636,30.551522365853018,8.673601132846661,15.238499518597225,18.544409580546997,41.76466972618948,53.5927467976468,61.895514818683225
22,8.053016020679772,9.053016020679772,10.053016020679772,3.048022737852111,3.048022737852111,3.048022737852111,22.31816418064031,26.57528275901503,31.160674102680453,8.777656051649123,15.318112437546487,18.93426062503118,42.19685899082132,53.9944339550934,63.19597348624352
23,8.053016020679772,9.053016020679772,10.053016020679772,3.089222773185417,3.089222773185417,3.089222773185417,23.190786835187925,27.605835256661607,32.22221893384209,9.1074640043708,15.915958172040108,18.93426062503118,43.44048963342391,55.6640322225669,64.29871835273846
24,8.053016020679772,9.053016020679772,10.053016020679772,3.146330490953596,3.146330490953596,3.146330490953596,23.514816330487353,27.969933945992224,32.41120023188701,9.277405972238542,16.40011440453308,19.36261509214618,43.99156881435926,56.569394862158674,64.97316183566656
25,7.841277987032969,8.841277987032969,9.841277987032969,3.2464236612570163,3.2464236612570163,3.2464236612570163,23.53264115349695,27.969933945992224,33.11934608865317,9.306943475561509,16.40011440453308,19.36261509214618,43.92728627734844,56.45774999881529,65.56966282908934
26,7.287549218307536,8.287549218307536,9.287549218307536,3.2464236612570163,3.2464236612570163,3.2464236612570163,23.53264115349695,27.969933945992224,33.11934608865317,9.306943475561509,16.40011440453308,19.36261509214618,43.37355750862301,55.90402123008985,65.01593406036389
27,7.237164615949002,8.237164615949002,9.237164615949002,3.2464236612570163,3.2464236612570163,3.2464236612570163,23.53264115349695,27.969933945992224,33.11934608865317,9.56503017598146,16.40011440453308,19.19070467853972,43.581259606684426,55.85363662773132,64.7936390443989
