,outflux_sediments,outflux_sediments,outflux_sediments,outflux_intrusive,outflux_intrusive,outflux_intrusive,outflux_volcanics,outflux_volcanics,outflux_volcanics,outflux_mantlelit,outflux_mantlelit,outflux_mantlelit,outflux_total,outflux_total,outflux_total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max
age,,,,,,,,,,,,,,,
0,51.573988280560734,51.573988280560734,51.573988280560734,0.0,0.0,0.0,0.0,0.0,1.8876775026255324,0.0,0.0,6.682671183648051,51.573988280560734,51.573988280560734,60.14433696683432
1,55.01017537543124,55.01017537543124,55.01017537543124,0.0,0.0,0.0,0.0,0.0,1.8876775026255324,0.0,0.0,7.439797111804893,55.01017537543124,55.01017537543124,64.33764998986166
2,55.01017537543124,55.01017537543124,55.01017537543124,0.0,0.0,0.0,0.0,0.0,1.5375813468550596,0.0,0.0,6.785321742642221,55.01017537543124,55.01017537543124,63.33307846492852
3,55.0639632044724,55.0639632044724,55.0639632044724,0.0,0.0,0.0,0.0,0.0,1.4429325095044696,0.0,0.0,6.785321742642221,55.0639632044724,55.0639632044724,63.2922174566191
4,51.627776109601896,51.627776109601896,51.627776109601896,0.0,0.0,0.0,0.0,0.0,1.5635452373621028,0.0,0.0,7.14321823261611,51.627776109601896,51.627776109601896,60.33453957958011
5,50.33589088653105,50.33589088653105,50.33589088653105,0.0,0.0,0.0,0.0,0.0,1.6263151540767886,0.0,0.0,6.402263875189856,50.33589088653105,50.33589088653105,58.3644699157977
6,49.15121539383203,49.15121539383203,49.15121539383203,0.0,0.0,0.0,0.0,0.0,1.8028246407177981,0.0,0.0,6.402263875189856,49.15121539383203,49.15121539383203,57.356303909739694
7,48.318510892349224,48.318510892349224,48.318510892349224,0.0,0.0,0.0,0.0,0.0,1.8842696620691903,0.0,0.0,6.509222269051595,48.318510892349224,48.318510892349224,56.71200282347
8,47.34448527983578,47.34448527983578,47.34448527983578,0.0,0.0,0.0,0.0,0.0,1.8842696620691903,0.0,0.0,6.509222269051595,47.34448527983578,47.34448527983578,55.73797721095656
9,45.86336049314741,45.86336049314741,45.86336049314741,0.0,0.0,0.0,0.0,0.0,2.0705497350796875,0.0,0.0,6.509222269051595,45.86336049314741,45.86336049314741,54.4431324972787
10,42.98587156445963,42.98587156445963,42.98587156445963,0.0,0.0,0.0,0.0,0.0,2.2667552592844373,0.0,0.0,6.509222269051595,42.98587156445963,42.98587156445963,51.76184909279566
11,43.157668987526215,43.157668987526215,43.157668987526215,0.0,0.0,0.0,0.0,0.0,2.2667552592844373,0.0,0.0,6.509222269051595,43.157668987526215,43.157668987526215,51.93364651586225
12,40.41631100437942,40.41631100437942,40.41631100437942,0.0,0.0,0.0,0.0,0.0,2.2667552592844373,0.0,0.0,6.509222269051595,40.41631100437942,40.41631100437942,49.19228853271545
13,38.65271343265882,38.65271343265882,38.65271343265882,0.0,0.0,0.0,0.0,0.0,2.3650988823373567,0.0,0.0,6.36432701190714,38.65271343265882,38.65271343265882,47.382139326903314
14,38.02385835135896,38.02385835135896,38.02385835135896,0.0,0.0,0.0,0.0,0.0,2.4137522494640358,0.0,0.0,6.241062380685303,38.02385835135896,38.02385835135896,46.6786729815083
15,36.150928618661,36.150928618661,36.150928618661,0.0,0.0,0.0,0.0,0.0,2.3508746021660407,0.0,0.0,6.099992864263772,36.150928618661,36.150928618661,44.60179608509081
16,34.87950408586817,34.87950408586817,34.87950408586817,0.0,0.0,0.0,0.0,0.0,2.1540407963389576,0.0,0.0,5.393766420246962,34.87950408586817,34.87950408586817,42.427311302454086
17,33.73080637461573,33.73080637461573,33.73080637461573,0.0,0.0,0.0,0.0,0.0,2.041567887300644,0.0,0.0,5.200239195488447,33.73080637461573,33.73080637461573,40.97261345740482
18,33.640477748170994,33.640477748170994,33.640477748170994,0.0,0.0,0.0,0.0,0.0,1.2198234314724061,0.0,0.0,4.969058359868651,33.640477748170994,33.640477748170994,39.829359539512055
19,33.422908741974304,33.422908741974304,33.422908741974304,0.0,0.0,0.0,0.0,0.0,1.2198234314724061,0.0,0.0,4.969058359868651,33.422908741974304,33.422908741974304,39.61179053331536
20,31.322605279125007,31.322605279125007,31.322605279125007,0.0,0.0,0.0,0.0,0.0,1.2198234314724061,0.0,0.0,4.969058359868651,31.322605279125007,31.322605279125007,37.51148707046606
21,31.291006697963915,31.291006697963915,31.291006697963915,0.0,0.0,0.0,0.0,0.0,1.2442090731940425,0.0,0.0,5.001202288474971,31.291006697963915,31.291006697963915,37.53641805963293
22,30.98843222219258,30.98843222219258,30.98843222219258,0.0,0.0,0.0,0.0,0.0,0.6511788523565265,0.0,0.0,4.65705709384628,30.98843222219258,30.98843222219258,36.296668168395385
23,30.98843222219258,30.98843222219258,30.98843222219258,0.0,0.0,0.0,0.0,0.0,0.812425221085995,0.0,0.0,5.3707068936323665,30.98843222219258,30.98843222219258,37.17156433691094
24,31.086375845685268,31.086375845685268,31.086375845685268,0.0,0.0,0.0,0.0,0.0,1.0389645109507057,0.0,0.0,5.798645275374497,31.086375845685268,31.086375845685268,37.92398563201047
25,31.40336029993209,31.40336029993209,31.40336029993209,0.0,0.0,0.0,0.0,0.0,0.33081865418454726,0.0,0.0,5.798645275374497,31.40336029993209,31.40336029993209,37.53282422949113
26,31.95708906865752,31.95708906865752,31.95708906865752,0.0,0.0,0.0,0.0,0.0,0.33081865418454726,0.0,0.0,5.798645275374497,31.95708906865752,31.95708906865752,38.08655299821656
27,33.55568023639901,33.55568023639901,33.55568023639901,0.0,0.0,0.0,0.0,0.0,0.33081865418454726,0.0,0.0,5.970555688980955,33.55568023639901,33.55568023639901,39.85705457956452
28,33.72157033436324,33.72157033436324,33.72157033436324,0.0,0.0,0.0,0.0,0.0,1.0123055126016638,0.0,0.0,5.244697216488234,33.72157033436324,33.72157033436324,39.97857306345314
29,34.149479002160774,34.149479002160774,34.149479002160774,0.0,0.0,0.0,0.0,0.0,1.0123055126016638,0.0,0.0,5.244697216488234,34.149479002160774,34.149479002160774,40.40648173125067
30,34.149479002160774,34.149479002160774,34.149479002160774,0.0,0.0,0.0,0.0,0.0,1.0123055126016638,0.0,0.0,5.244697216488234,34.149479002160774,34.149479002160774,40.40648173125067
31,34.1554346545965,34.1554346545965,34.1554346545965,0.0,0.0,0.0,0.0,0.0,1.0123055126016638,0.0,0.0,4.940182339406444,34.1554346545965,34.1554346545965,40.10792250660461
32,35.440529780930426,35.440529780930426,35.440529780930426,0.0,0.0,0.0,0.0,0.0,1.0123055126016638,0.0,0.0,3.7692968240586424,35.440529780930426,35.440529780930426,40.22213211759073
33,35.52512279285645,35.52512279285645,35.52512279285645,0.0,0.0,0.0,0.0,0.0,0.04852569055064748,0.0,0.0,3.101004527683905,35.52512279285645,35.52512279285645,38.674653011091
34,33.48882369637775,33.48882369637775,33.48882369637775,0.0,0.0,0.0,0.0,0.0,0.32565931427646433,0.0,0.0,3.6862444045747544,33.48882369637775,33.48882369637775,37.500727415228965
35,29.135478436578214,29.135478436578214,29.135478436578214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0447923235213175,29.135478436578214,29.135478436578214,32.18027076009953
36,23.992843151746214,23.992843151746214,23.992843151746214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.127236255272198,23.992843151746214,23.992843151746214,27.120079407018412
