,crust,crust,crust,lithosphere,lithosphere,lithosphere,sediments,sediments,sediments,total,total,total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max
age,,,,,,,,,,,,
0,46.89294073351511,52.1362673362516,57.379593923723135,14.35159244082875,15.65466441809563,17.043651467058773,6.319721786604693,7.55297453773999,8.786226926055111,67.56425496094855,75.34390629208721,83.20947231683702
1,46.35239364378837,51.54642575334916,56.74045785326204,14.321641088000467,15.33159899129311,16.38966897726681,6.87320343762911,8.214721084604372,9.55623840643255,67.54723816941795,75.09274582924665,82.68636523696141
2,44.27247696498311,49.22964899165167,54.186820977269285,14.043010562046156,14.94263734581649,15.877196750785036,6.784570593701625,8.109330413232835,9.43408948458278,65.10005812073089,72.281616750701,79.49810721263711
3,44.34277619888532,49.30808766493216,54.27339910842353,14.88095650610325,15.804922775113752,16.76063729582176,6.577311264543361,7.861970811555231,9.146629932145963,65.80104396953192,72.97498125160115,80.18066633639125
4,44.56947913630243,49.559510002593335,54.549540876654966,14.747464174050155,15.672460141846473,16.63066421959411,6.491240113914683,7.758231589719982,9.025222602206851,65.80818342426727,72.9902017341598,80.20542769845592
5,42.97034131197999,47.78412133575459,52.597901339069196,13.390703832115157,14.237185220094496,15.113596808730684,6.255897553893876,7.477039238255886,8.698180439500677,62.616942697989025,69.49834579410498,76.40967858730056
6,43.80217577638648,48.707132385819186,53.6120890056274,13.6571068866913,14.53338574683628,15.438799429807466,6.249693442046826,7.469600904800153,8.689507964867424,63.708976105124606,70.71011903745563,77.7403964003023
7,42.84472820552084,47.64385406689737,52.4429799359864,13.648837808860637,14.473989031908236,15.319563205544815,6.117536566238684,7.3118768514344055,8.50621673571304,62.611102580620155,69.42971995024001,76.26875987724425
8,42.71097246084067,47.493100833113964,52.275229200163125,13.099497123677338,13.883718027864887,14.685167458054678,6.0273807012632385,7.2044903480033025,8.381599582524897,61.83785028578125,68.58130920898215,75.3419962407427
9,42.15226951187013,46.87379837940624,51.595327221330976,13.359924434235966,14.14417119078986,14.946665482175746,5.960658410934162,7.124898220093131,8.289137715394576,61.47285235704025,68.14286779028923,74.8311304189013
10,40.84735880688075,45.42061947055461,49.99388006375355,13.064008594016167,13.905297924525094,14.769560025173494,5.6058885367647875,6.700813774600711,7.795738571479042,59.5172559376617,66.02673116968042,72.55917866040608
11,41.491927608760804,46.13741505703415,50.78290248174794,13.382757579242679,14.224079069919338,15.086518278945611,5.404965694244904,6.460645608829193,7.516325196815753,60.27965088224839,66.82213973578268,73.3857459575093
12,40.37693147625747,44.897946762543015,49.4189620472424,13.45643087970049,14.295111461934788,15.15493495972182,5.31941841457986,6.358393017429381,7.3973674070242215,59.15278077053782,65.55145124190719,71.97126441398844
13,41.31311049104589,45.93863057019517,50.56415060197797,14.46252765297715,15.299646556315821,16.161093984741385,4.9476150276726205,5.914547875836726,6.881480465960815,60.72325317169566,67.15282500234773,73.60672505268018
14,41.898357136348224,46.589171056299556,51.279984948966046,14.343619879612172,15.1652852753197,16.007974639675634,4.919301704023798,5.879297111213834,6.839292091961814,61.161278719984196,67.63375344283308,74.1272516806035
15,44.30524345288441,49.26437028828232,54.223497097865135,14.489319628169309,15.28694737951202,16.100530610444455,4.692770220336132,5.608871529694188,6.524972448050466,63.48733330138985,70.16018919748852,76.84900015636005
16,42.90809684194238,47.71230786679217,52.51651885906023,14.04445107870595,14.814058029495488,15.595851760179169,4.690034765960786,5.605017104936064,6.519999124396759,61.64258268660912,68.13138300122372,74.63236974363616
17,43.16893979196416,48.00243152261342,52.835923223387596,14.446485511382939,15.254872020403845,16.078466461946242,4.672668352289917,5.584474231740102,6.4962797404402295,62.28809365563702,68.84177777475736,75.41066942577407
18,41.88166274194018,46.57213899977442,51.262615221549005,14.56287980153458,15.378207991003471,16.21109864124496,4.453431886085317,5.321734763898993,6.190037331271659,60.89797442956008,67.27208175467688,73.66375119406563
19,43.09545951712537,47.92119970318638,52.746939862821115,15.995867110807206,16.877883094992285,17.779021726191804,4.590751013692135,5.486709490502072,6.382667533850473,63.68207764162471,70.28579228868074,76.9086291228634
20,44.232133270859,49.183649609817756,54.13516588314738,15.05682928228702,15.911531539774433,16.781729182449816,4.460512897858385,5.33054413144338,6.200574975495433,63.74947545100441,70.42572528103557,77.11747004109263
21,37.916470698251615,42.16461919796315,46.41276765237457,13.955030480595841,14.731742550736033,15.523188284109269,4.250080788720373,5.079895594299108,5.909710029471119,56.12158196756783,61.97625734299829,67.84566596595495
