,min_carbonate_platform_degassing_rate,mean_carbonate_platform_degassing_rate,max_carbonate_platform_degassing_rate
0,66.46976534509676,87.48777505194842,107.63038876954202
1,68.91497873542896,87.48777505194842,107.63038876954202
2,68.91497873542896,87.48777505194842,107.63038876954202
3,68.91497873542896,87.63309399298177,111.10416239384423
4,68.91497873542896,92.204333870002,115.77512317236965
5,69.38799620284993,98.68339847517952,121.53029443875847
6,72.16564199848071,100.92245012700737,123.85919903125496
7,72.16564199848071,102.0039546087372,124.50537374168228
8,72.35471365553478,102.0670013067988,125.84379125973928
9,72.35471365553478,102.0670013067988,125.84379125973928
10,72.35471365553478,102.0670013067988,125.84379125973928
11,72.35471365553478,102.0670013067988,125.84379125973928
12,72.35471365553478,102.0670013067988,125.84379125973928
13,72.62582089521277,102.0670013067988,125.84379125973928
14,76.96064538423856,102.0039546087372,125.84379125973928
15,78.19802701590622,102.0039546087372,125.84379125973928
16,78.19802701590622,102.0039546087372,125.84379125973928
17,78.19802701590622,101.79012402419184,122.33550422416458
18,76.96064538423856,101.30092400435888,122.10518682889465
19,76.96064538423856,101.30092400435888,122.10518682889465
20,76.96064538423856,101.30092400435888,122.10518682889465
21,75.64520638935018,99.86459577635428,122.10518682889465
22,71.41735130745266,99.86459577635428,122.10518682889465
23,70.20943554060116,99.86459577635428,122.33550422416458
24,69.14309731869675,99.86459577635428,122.50278603604237
25,69.14309731869675,99.86459577635428,122.50278603604237
26,68.2215418562123,100.07495502478496,123.99564342635924
27,68.2215418562123,101.7680604457404,128.013568404967
28,68.2215418562123,107.27845350437462,130.97996919384465
29,69.14309731869675,107.27845350437462,130.97996919384465
30,70.71432799874849,107.27845350437462,130.97996919384465
31,72.09057541852098,107.27845350437462,130.97996919384465
32,72.09057541852098,107.27845350437462,130.97996919384465
33,72.09057541852098,106.57582612526514,128.1893192499061
34,72.09057541852098,103.81134822762591,127.60418325424018
35,72.09057541852098,101.99631423839216,125.70347798008106
36,72.09057541852098,101.99631423839216,125.70347798008106
37,70.89386333161512,95.7572939455053,121.58905106766764
38,68.04232374150035,94.30172349374324,119.91765326294448
39,67.90428991222666,93.0579875149662,116.08721213461772
40,66.23231474363209,88.48391794168222,113.42301413466863
41,55.26598014691683,80.12150941843635,105.0991275850398
42,55.26598014691683,78.7522019834408,101.6149834668046
43,55.26598014691683,78.43666790326301,101.54371604613712
44,55.26598014691683,78.43666790326301,101.54371604613712
45,55.26598014691683,78.43666790326301,101.54371604613712
46,61.41792202178656,78.7522019834408,101.54371604613712
47,61.41792202178656,80.05421257211498,99.20336589989196
48,61.41792202178656,79.85652260376222,99.20336589989196
49,61.41792202178656,80.05421257211498,104.96026243272
50,61.41792202178656,80.05421257211498,104.96026243272
51,61.41792202178656,80.05421257211498,104.96026243272
