,min_magma_production_rate,mean_magma_production_rate,max_magma_production_rate
0,68.91497873542896,87.48777505194842,106.76771940240074
1,65.3831313147402,86.73489206646276,107.63038876954202
2,61.9938852991787,82.62769963081911,105.70939145240298
3,69.38799620284993,87.63309399298177,111.10416239384425
4,66.46976534509676,92.204333870002,115.77512317236963
5,73.40593125392365,105.7114893201935,132.38941704862992
6,74.78938829130541,104.15237668417379,129.00494710839973
7,68.71639932964756,98.68339847517952,121.53029443875847
8,72.35471365553478,102.0670013067988,123.85919903125495
9,72.62582089521277,104.69302868247397,126.9585390030152
10,72.16564199848071,100.92245012700735,124.50537374168229
11,71.06112397775422,102.00395460873719,125.84379125973929
12,81.5156183404444,112.37330197915904,137.4979535705211
13,66.35850074689579,91.14206996632531,112.91491402533447
14,71.40044594287477,99.23701647827046,120.63564499263836
15,95.52305844824176,119.68741327740861,138.90142622792388
16,84.97620655453787,111.99091332575367,131.24424119586735
17,78.19802701590622,101.79012402419183,122.10518682889463
18,76.96064538423856,101.30092400435888,122.33550422416458
19,81.07477210050978,106.49750602934675,126.45951003123275
20,75.64520638935018,99.86459577635429,122.07619937495537
21,70.20943554060116,89.3746956921403,111.55276318496877
22,71.41735130745266,91.65409130383365,109.86007268506052
23,64.25287945119175,84.04870988590253,99.3187643846845
24,62.028133947078885,85.13645291476881,101.79958762969423
25,64.19520572118977,97.92838183509932,122.50278603604235
26,64.99738936055789,100.07495502478497,128.013568404967
27,68.17398000783088,107.27845350437462,138.2439621180682
28,69.14309731869675,111.48056742541547,144.4873720574182
29,70.71432799874849,109.13797476755173,132.31782939891087
30,68.2215418562123,101.76806044574039,123.99564342635924
31,72.95469123114685,109.34710846059218,130.97996919384465
32,77.46341629280639,115.0017144265667,137.9983844846859
33,72.09057541852098,106.57582612526514,128.18931924990613
34,72.21116470005198,101.99631423839217,125.70347798008106
35,74.46946622096029,103.81134822762591,127.60418325424018
36,67.90428991222666,94.30172349374324,116.08721213461772
37,70.89386333161512,95.7572939455053,121.58905106766763
38,66.23231474363209,88.48391794168222,113.42301413466865
39,68.04232374150035,93.05798751496619,119.91765326294448
40,53.00155333320224,74.7268535422235,101.6149834668046
41,50.82693922216539,75.34315718912435,101.54371604613712
42,55.26598014691683,80.12150941843635,105.09912758503981
43,47.109013097837604,70.96052408426141,94.22538706475652
44,36.08604972080549,55.22981836526384,72.66696473038989
45,41.335128321648824,55.209827944008005,72.33841654654792
46,62.295996162534756,78.7522019834408,95.89777775884198
47,61.41792202178656,78.43666790326301,96.5841244665452
48,68.49297976675791,91.4793568540273,114.87595312426575
49,70.64994328670642,92.94748396238194,117.7111728991884
50,63.37148326650956,84.50409697746585,104.96026243272
51,59.92504581999116,80.05421257211498,99.20336589989196
52,59.434497673830535,79.85652260376222,104.98539087477036
53,60.601704717081006,81.35025287703063,108.73603894589158
54,53.737978206074374,71.31090857066526,96.46453113791475
55,52.07913613367256,68.7901352709263,94.3968276156269
56,35.63783022074464,52.081605883076875,81.09339331060184
57,35.39021251602554,51.052037284966566,79.46502671243209
58,32.20730865150331,43.987965033168834,70.31476218366629
59,37.29791923488551,49.66408982354528,78.06744026242808
60,36.8953932729934,48.91934158282217,74.62891803151891
61,42.27398877122569,55.514133658650444,83.31378706077936
62,44.86033798259593,59.93871947900116,90.49701090517814
63,47.58492858935021,63.37701748710748,95.6184025515478
64,43.57347745750245,59.113078317585064,95.15687875112904
65,37.44225801949174,56.47489013274667,99.16722427169108
66,41.40927556535077,59.14229106047124,98.5420793196309
67,37.74085209286385,55.21218607162274,84.58715145316825
68,43.840663170789846,61.265095035675216,89.29662100944178
69,42.16223287640104,61.2746035538843,88.68104635917848
70,50.351403317688465,70.88246912535924,96.46255641634383
71,32.474889828561736,46.64002882869576,67.17609446369691
72,29.253718642199686,42.84935433789225,62.75575089991965
73,30.888506248806166,44.15285179893115,62.32345794690153
74,28.319061765351332,41.33392462070309,60.67745549034579
75,30.595061028100247,44.84991615516309,64.27971670994094
76,34.31746223143951,48.51000625599811,68.6094881760125
77,30.392451139209733,43.74803431874622,63.45553526543981
78,28.996237563265055,38.3538828055818,57.879070937210216
79,23.361610319916323,32.66075093528072,51.749979441295565
80,29.894031995055965,40.88566755288039,63.68962479907019
81,27.16692317864911,37.071873565789375,64.50005841554774
82,26.530455182394736,35.245918465971144,60.952024211639014
83,43.010600055231166,57.40737909658763,81.53379601217335
84,44.22703100800839,60.179334414606274,87.52812061762475
85,38.75887099212066,53.292788886311726,79.47624516345896
86,33.60014287946913,51.88191432237935,74.76972132128981
87,34.84245494080562,51.52332956939276,76.51212375310561
88,33.71159034271801,51.91336176027702,75.06015513022413
89,32.869496486883854,49.43904283215175,75.84748334735741
90,32.62725761932845,46.47897844723986,71.50504314325116
