,min_carbonate_platform_length,mean_carbonate_platform_length,max_carbonate_platform_length
104,7636.008738783295,11123.682278535847,14277.421573138457
105,6648.274339887485,9956.8840561008,13598.289404804758
106,6505.866806515571,9662.695233445365,13384.076647096676
107,6477.974077921894,9625.102082047444,13317.82161466655
108,6439.9189087679815,9578.648987570972,13256.415477931381
109,6109.17004765673,9297.689073447918,13040.514361222788
110,6004.381240143009,9239.60653623197,12868.601547501801
111,5952.171278560287,9085.608647777657,12691.226592677986
112,4744.012914103614,7410.761488281619,10928.432912868313
113,4705.402144877689,7215.075184532691,10832.878987631724
114,4660.300836649054,7186.49775402768,10693.406704723266
115,4633.706803151928,7133.279498675072,10693.406704723266
116,4485.56917036707,7116.693022713123,10693.365518280249
117,4388.781776254451,7116.693022713123,10693.365518280249
118,4279.338364161784,7116.693022713123,9895.919211001392
119,4279.338364161784,7116.693022713123,9881.783094523607
120,4279.338364161784,7116.693022713123,9867.24689833858
121,4279.338364161784,7430.0710014046435,9865.135041518462
122,4388.781776254451,7725.4925368384975,9867.24689833858
123,5431.901736939376,8092.192427105006,9881.783094523607
124,5888.4499484491325,8173.818505301076,9895.919211001392
125,6000.764884511691,8250.80011156668,9895.919211001392
126,6077.866519975477,8400.534012687109,9978.933488855684
127,6186.063312085914,8422.196445779402,9995.768656692328
128,6346.013365561078,8565.467236695942,10258.472541273892
129,6355.758728533937,8618.578682321235,10275.8094005887
130,6545.827899800123,8764.960790643372,10698.08852417836
131,7329.183100941955,9836.63223892247,11863.666756722932
132,7442.987835760383,9977.123793834704,11976.088750946736
133,7442.987835760383,9977.123793834704,11976.088750946736
134,7442.987835760383,9977.123793834704,11976.088750946736
135,7442.987835760383,9977.123793834704,12054.837134192101
136,7442.987835760383,9977.123793834704,12437.023943168278
137,7329.183100941955,9836.63223892247,12487.120820457247
138,7146.347920990544,9351.34643124126,12773.503322300416
139,7113.149505836528,9351.34643124126,12775.63441227849
140,7113.149505836528,9351.34643124126,12791.717242532746
141,7113.149505836528,9351.34643124126,12847.182702021506
142,7113.149505836528,9351.34643124126,13681.423268699727
143,7113.149505836528,10960.790908100736,13983.211318846099
144,7368.2287431882805,10995.97225132915,14195.777931385848
145,8079.5907866762,10995.97225132915,14195.777931385848
146,8359.452686860122,11063.864270920656,14279.07935769733
147,8581.990002196708,11312.563736900069,14374.699830154512
148,8740.225086128634,11331.880643535625,14451.10555181051
149,8833.014866548132,11375.475709928081,14459.943036660214
150,8921.779180053685,11504.81240424162,14459.943036660214
151,9338.17619787575,11504.81240424162,14459.943036660214
152,9338.17619787575,11504.81240424162,14459.943036660214
153,9338.17619787575,11504.81240424162,14374.699830154512
154,9338.17619787575,11504.81240424162,14094.68684575572
155,9338.17619787575,11504.81240424162,13286.970706561015
156,9338.17619787575,11420.71274310175,13078.693690469225
157,9313.56590652832,11419.44723294754,13036.51796143676
158,9195.545558463707,11293.645581996914,12984.73774338902
159,9054.997277025777,11198.41046067312,12731.468736431003
160,9014.53901633,11192.166786204736,12700.486354953915
161,8934.063389714845,11127.142618070822,12687.914372056179
162,7750.0368701379075,9680.383523589868,11052.414617446559
163,7692.317361710165,9510.356980600693,10960.216211803734
164,7688.889344747405,9510.356980600693,10960.216211803734
165,7558.103280870681,9510.356980600693,10960.216211803734
166,7387.055780951696,9510.356980600693,10960.216211803734
167,7372.513558130795,9510.356980600693,10960.216211803734
168,7387.055780951696,9578.213970865567,11214.683969544652
169,7558.103280870681,9578.213970865567,11214.683969544652
170,7558.103280870681,9578.213970865567,11214.683969544652
