,min_carbonate_platform_length,mean_carbonate_platform_length,max_carbonate_platform_length
0,16569.453051944332,19534.67235404947,23364.732793313935
1,16569.453051944332,19534.67235404947,23364.732793313935
2,16569.453051944332,19534.67235404947,23364.732793313935
3,16799.794710502007,20279.413725617724,23862.12614828731
4,16799.794710502007,20573.633953966655,23862.12614828731
5,16799.794710502007,20703.486782654076,23957.912773648277
6,16799.794710502007,20703.486782654076,23957.912773648277
7,16799.794710502007,20703.486782654076,23957.912773648277
8,16799.794710502007,20703.486782654076,23957.912773648277
9,16779.968253445983,20703.486782654076,23862.12614828731
10,16565.073934526696,20573.633953966655,23816.266735530295
11,15980.640367921369,19992.15223596712,22964.02210509964
12,15858.526774329881,19685.616719617217,22627.73973992206
13,15172.113677961706,18819.278249873296,21747.617043613525
14,13999.912966126298,17253.42862589737,19846.747970833963
15,13958.023975433689,17129.831130166942,19283.373918968646
16,13698.215076225499,17102.254691321785,19217.741159174526
17,12999.286627528694,16298.2320116695,18993.76794843863
18,12927.856537911679,16204.688681736947,18649.0692416047
19,12927.856537911679,16204.688681736947,18649.0692416047
20,12763.742858554626,16204.688681736947,18649.0692416047
21,12201.764162964664,16084.088333351136,18616.540395792024
22,12201.764162964664,16084.088333351136,18616.540395792024
23,12168.934009275801,16084.088333351136,18616.540395792024
24,12061.322598515348,16204.688681736947,18649.0692416047
25,12061.322598515348,16204.688681736947,18993.76794843863
26,12061.322598515348,17401.336108915668,20474.14660342371
27,12061.322598515348,17641.24294787747,20721.21372086563
28,12293.652513387566,17641.24294787747,20816.408872930788
29,12366.842143324924,17643.8018177109,20989.36743907641
30,13233.665983729907,17643.8018177109,20989.36743907641
31,13446.039553101127,17648.986371491636,20989.36743907641
32,13630.006668139875,17648.986371491636,20989.36743907641
33,13633.463067701701,17648.986371491636,20989.36743907641
34,13741.565134513401,17643.8018177109,20989.36743907641
35,13899.129641489018,17321.134929943863,20904.43778633365
36,13899.129641489018,17241.187111030304,20627.18762227024
37,13741.565134513401,17221.564845342167,20533.98771180738
38,13741.565134513401,17128.205551351883,20379.22716251756
39,13741.565134513401,17077.603221835307,20243.412459548825
40,13741.565134513401,16940.90505038712,20001.033563472334
41,12826.812197401092,15497.388952274043,19043.94337207334
42,12610.160071722801,15367.67825313456,18428.12755237346
43,12420.994496650663,15209.998585015077,18406.9095285403
44,12420.994496650663,15209.998585015077,18406.9095285403
45,12420.994496650663,15209.998585015077,18406.9095285403
46,12420.994496650663,15209.998585015077,18406.9095285403
47,12610.160071722801,15497.388952274043,18391.810505797654
48,12854.73542116834,16138.667847846915,18391.810505797654
49,12969.908884099748,16138.667847846915,18434.102745675053
50,12969.908884099748,16138.667847846915,18434.102745675053
51,13380.70927211522,16142.591709840533,18450.23070677095
52,13380.70927211522,16175.491997542193,18685.712157779566
53,13380.70927211522,16363.098985267881,18703.10401258682
54,12969.908884099748,16175.491997542193,18848.633643879606
55,12969.908884099748,16175.491997542193,19257.20819662416
56,12854.73542116834,16142.591709840533,19925.817531371013
57,12595.885357612566,16138.667847846915,19925.817531371013
58,12595.885357612566,16096.20487361911,19925.817531371013
59,12417.452800501853,16091.791338625715,19925.817531371013
60,12266.457996307474,16091.791338625715,19925.817531371013
61,12159.322472753518,15975.139504257359,19925.817531371013
62,12159.322472753518,15879.505131570686,19656.302033580912
63,12159.322472753518,15629.088956210786,19159.244206267096
64,12159.322472753518,15373.42754273462,18886.943396043385
65,11850.360360454262,14411.739114041015,18029.917249323353
66,11008.598417720092,14025.374158865001,17421.92454667762
67,11000.24771861792,13706.745909560788,17146.326597251198
68,10795.712952095859,13442.102825024023,17019.857763557477
69,10178.632320790684,13359.751904229337,16545.91011736679
70,10073.381204760857,13245.948705322506,16499.288515186294
71,9739.959185211424,12530.39981127001,16031.377022326182
72,8695.2109165389,11866.494704352841,14716.98067562249
73,8529.433701358716,11807.46476954788,14716.98067562249
74,8110.162294818544,11464.361995358777,14080.286709808328
75,7936.632739438259,10640.341200191971,14052.580082386881
76,7936.632739438259,10640.341200191971,14052.580082386881
77,8110.162294818544,10640.341200191971,14052.580082386881
78,8486.32601761659,11051.241435389888,14080.286709808328
79,8529.433701358716,11051.241435389888,14080.286709808328
80,8529.433701358716,11051.241435389888,14080.286709808328
81,8650.208439580385,10652.203914825272,14052.580082386881
82,8650.208439580385,10652.203914825272,14052.580082386881
83,8706.81005187234,10652.203914825272,14052.580082386881
84,8964.262543892046,11051.241435389888,14179.840287533205
85,8964.262543892046,11245.409860151933,14271.10489456825
86,8964.262543892046,11051.241435389888,14271.10489456825
87,8964.262543892046,11107.483742955088,14400.3385565934
88,8822.468985801801,11107.483742955088,14400.3385565934
89,8706.81005187234,11107.483742955088,14400.3385565934
90,8706.81005187234,11107.483742955088,14400.3385565934
91,8706.81005187234,11107.483742955088,14400.3385565934
92,8411.002962643448,11107.483742955088,14499.459445970102
93,8308.13962346668,11044.750487662202,14400.3385565934
94,8264.41298778101,11044.750487662202,14400.3385565934
95,8104.603958697334,11044.750487662202,14395.574638822964
96,8093.013906391077,11107.483742955088,14370.343462495817
97,8047.084478882323,11123.682278535847,14370.343462495817
98,8047.084478882323,11233.163070762243,14395.574638822964
99,8093.013906391077,11317.944442637296,14725.793073514495
100,8047.084478882323,11317.944442637296,14725.793073514495
101,8047.084478882323,11317.944442637296,14725.793073514495
102,7802.198477658873,11233.163070762243,14395.574638822964
103,7736.445308216903,11233.163070762243,14395.574638822964
