# Age_Myr	SL (m) # Miller et al (0-66.6 Ma), Haq hybrid 66.7 - 205 Ma
34.1	99.838588
34.2	103.357449
34.3	105.888061
34.4	102.924345
34.5	98.115162
34.6	92.760898
34.7	89.472237
34.8	89.489535
34.9	88.846038
35.0	86.652586
35.1	85.056482
35.2	84.702106
35.3	83.774378
35.4	84.191206
35.5	82.291072
35.6	81.304951
35.7	80.641274
35.8	80.293015
35.9	80.395220
36.0	81.553532
36.1	79.975432
36.2	75.432826
36.3	71.772851
36.4	68.446043
36.5	67.313207
36.6	66.636009
36.7	66.051188
36.8	65.459608
36.9	65.391074
37.0	65.357599
37.1	62.509788
37.2	64.719418
37.3	65.828153
37.4	62.006956
37.5	60.454007
37.6	65.750839
37.7	65.292332
37.8	65.982972
37.9	67.627030
38.0	68.116291
38.1	67.624147
38.2	71.309430
38.3	71.127935
38.4	71.453517
38.5	60.503325
38.6	70.519908
38.7	69.667787
38.8	68.679662
38.9	76.598697
39.0	76.772562
39.1	77.617239
39.2	79.813494
39.3	81.484509
39.4	85.057562
39.5	84.699522
39.6	83.793677
39.7	83.196200
39.8	90.142051
39.9	95.353555
40.0	99.192019
40.1	102.285068
40.2	104.260647
40.3	103.274711
40.4	96.625562
40.5	84.531817
40.6	74.320138
40.7	72.213560
40.8	69.338316
40.9	75.169335
41.0	76.407470
41.1	76.816773
41.2	78.217179
41.3	76.223394
41.4	74.635347
41.5	78.118882
41.6	80.908372
41.7	83.149870
41.8	85.875938
41.9	88.719797
42.0	90.140515
42.1	88.667547
42.2	89.589282
42.3	88.571271
42.4	84.629110
42.5	87.080365
42.6	81.982765
42.7	82.779218
42.8	80.110647
42.9	80.864842
43.0	89.410278
43.1	89.571694
43.2	92.628553
43.3	93.722752
43.4	98.092586
43.5	96.928310
43.6	96.384535
43.7	99.208973
43.8	98.806164
43.9	99.870764
44.0	99.021630
44.1	95.480224
44.2	91.218837
44.3	86.713332
44.4	79.879250
44.5	90.468165
44.6	90.565126
44.7	90.571366
44.8	91.530531
44.9	92.013130
45.0	94.371341
45.1	95.708627
45.2	97.905903
45.3	90.163181
45.4	87.647237
45.5	87.167302
45.6	88.775372
45.7	93.067582
45.8	91.192285
45.9	91.896581
46.0	92.612507
46.1	89.704146
46.2	92.193272
46.3	92.376740
46.4	92.741139
46.5	92.743931
46.6	88.336016
46.7	88.889578
46.8	92.011238
46.9	86.882859
47.0	87.662728
47.1	95.253773
47.2	99.387318
47.3	95.540069
47.4	95.521637
47.5	94.491194
47.6	99.723279
47.7	101.720911
47.8	101.328277
47.9	104.596632
48.0	111.367786
48.1	114.273565
48.2	119.254896
48.3	126.177041
48.4	130.403191
48.5	131.045963
48.6	131.914881
48.7	128.962321
48.8	129.281864
48.9	128.696516
49.0	130.315691
49.1	129.712196
49.2	136.880607
49.3	137.833043
49.4	139.149853
49.5	140.359940
49.6	141.325771
49.7	143.379172
