# Age (kyr)	GMGSL (m)Miller et al. (2024)
0.256915	-62.2275
0.259362	-59.3531
0.262054	-59.6323
0.264636	-54.7566
0.267305	-55.0383
0.268417	-57.0406
0.269752	-48.4504
0.272151	-61.0414
0.272707	-55.3166
0.275766	-60.4631
0.277712	-48.4453
0.278547	-46.7286
0.280616	-35.5732
0.282435	-33.5721
0.284005	-22.1342
0.284595	-25.5665
0.285576	-23.8517
0.286362	-29.5713
0.287229	-30.1438
0.288456	-24.4264
0.290839	-27.0016
0.293907	-39.8683
0.297866	-34.7251
0.301023	-30.7251
0.303478	-41.0175
0.305537	-27.2977
0.307693	-25.5837
0.309130	-23.2975
0.311765	-24.4422
0.314880	-9.5756
0.316077	-21.5845
0.317274	-17.2956
0.319189	-35.8835
0.319749	-18.1536
0.323004	9.8764
0.323787	9.8777
0.326527	3.5887
0.329048	-2.7019
0.329520	-18.1521
0.333217	-17.5784
0.334888	-28.7408
0.337301	-69.6806
0.337703	-49.0687
0.339120	-69.1145
0.339525	-57.6625
0.340335	-65.6827
0.341189	-75.9953
0.341621	-67.9783
0.343041	-67.6971
0.344654	-73.7190
0.345148	-56.5324
0.347984	-64.5642
0.351069	-64.5759
0.353273	-69.1719
0.354756	-63.4434
0.355990	-66.8898
0.357473	-62.8805
0.358954	-86.4115
0.361424	-45.1041
0.365024	-37.6469
0.368879	-64.6515
0.372461	-40.5291
0.375216	-40.5334
0.377420	-39.3865
0.379899	-33.6368
0.382379	-38.2424
0.385759	-28.4579
0.389011	-16.9356
0.392783	-21.5394
0.395046	-4.8148
0.396303	-5.3865
0.397562	13.0770
0.399577	12.5138
0.400332	9.6335
0.403102	20.6207
0.405871	6.7815
0.408833	5.0661
0.412296	-3.0080
0.416506	-16.5853
0.420139	-52.7613
0.424041	-63.7829
0.426841	-80.0279
0.430011	-86.7236
0.433012	-86.4620
0.436301	-91.4283
0.438326	-86.5126
0.440113	-62.7093
0.441554	-73.7585
0.445041	-59.8280
0.446693	-59.8359
0.447985	-64.2056
0.449278	-59.8483
0.450569	-58.6903
0.453023	-58.1192
0.453411	-63.3623
0.454343	-65.1147
0.454827	-59.2923
0.456056	-70.3683
0.457995	-74.4611
0.460031	-67.4794
0.462502	-68.6611
0.464952	-70.4272
0.467983	-58.1852
0.471241	-48.2671
0.474457	-35.4142
0.477672	-37.7544
0.482822	-28.9752
0.486353	-22.5272
0.489650	-22.5198
0.492498	-53.5973
0.495135	-25.4413
0.497982	-29.5457
0.500835	-14.2716
0.503685	-40.1174
0.505974	-45.4102
0.508256	-48.3546
0.510539	-56.0081
0.512866	-55.4276
0.516372	-48.3720
0.517132	-37.1823
0.520362	-40.1296
0.523942	-37.7731
0.527645	-38.9541
0.532277	-48.4044
0.535989	-55.5023
0.540059	-54.9235
0.543533	-53.1589
0.548072	-61.4595
0.552177	-44.8870
0.556122	-52.5984
0.558831	-45.4881
0.562066	-40.1518
0.564072	-27.6880
0.566079	-25.9037
0.568750	-29.4627
0.570742	-17.5768
0.572428	-16.3830
0.575076	-8.0505
0.578446	-25.2864
0.581576	-53.8473
0.584935	-56.8324
0.588108	-45.5225
0.592229	-35.3937
0.596952	-33.6024
0.600442	-37.7775
0.605655	-33.5966
0.610520	-20.4462
0.614169	-34.1891
0.617846	-43.7580
0.620119	-56.3252
0.622913	-85.6619
0.625412	-79.6891
0.628001	-98.8688
0.629667	-80.3097
0.630969	-88.7046
0.632314	-92.3083
0.633905	-84.5265
0.635127	-78.5384
0.637610	-81.5480
0.639623	-73.1611
0.642217	-76.7706
0.644013	-76.7779
0.646008	-77.3861
0.647603	-76.1920
0.650748	-68.3981
0.653748	-66.0044
0.655111	-69.6120
0.657021	-65.4120
0.658384	-63.6128
0.660020	-61.2127
0.661963	-52.8026
0.663708	-66.0285
0.664289	-52.2045
0.667488	-66.0365
0.670396	-58.2250
0.672141	-55.8220
0.673433	-66.6491
0.674678	-58.2310
0.676202	-62.4434
0.677725	-59.4380
0.680270	-58.8395
0.684354	-34.7793
0.711083	-61.8606
0.719395	-70.8646
0.721480	-68.4582
0.722714	-71.4580
0.723751	-58.8480
0.724900	-46.8415
0.726739	-43.8421
0.729904	-49.2439
0.737662	-56.4341
0.742187	-51.0409
0.744151	-57.6218
0.745675	-53.4320
0.746764	-64.1952
0.748646	-71.9600
0.753270	-61.1865
0.756536	-61.1762
0.760101	-51.6254
0.763560	-39.7089
0.766705	-42.6907
0.769270	-34.9623
0.771784	-29.6219
0.774049	-32.0084
0.776565	-17.1824
0.779652	-14.2445
0.782581	-13.0881
0.785328	-19.6266
0.787417	-35.0220
0.789235	-41.2348
0.792812	-31.4971
0.794833	-73.3986
0.798259	-70.4185
0.801964	-68.6195
0.805330	-57.4203
0.807979	-59.1697
0.810035	-38.0288
0.812191	-55.6273
0.814506	-50.9291
0.816547	-43.3114
0.819036	-33.9511
0.821586	-25.1929
0.823882	-40.3904
0.832188	-36.3218
0.834818	-35.1645
0.837438	-36.9139
0.840057	-32.8566
0.842675	-20.1122
0.845295	-14.3433
0.847915	-17.2637
0.850797	-24.8025
0.853417	-35.7857
0.856629	-9.8527
0.860666	-11.6295
0.863780	-30.0569
0.866926	-59.9150
0.869956	-58.7423
0.873348	-78.7480
0.876316	-72.9808
0.878649	-78.0864
0.880823	-74.6261
0.883496	-65.4657
0.886170	-59.7415
0.889178	-64.2611
0.892854	-62.5158
0.897282	-59.0681
0.900335	-59.6044
0.902000	-36.4099
0.903435	-43.1897
0.904392	-46.0106
0.905587	-42.0547
0.906783	-38.6672
0.908458	-42.0478
0.910849	-42.0418
0.915869	-48.2089
0.921370	-56.0246
0.924478	-63.2716
0.926439	-59.3329
0.927666	-59.8784
0.928489	-47.0203
0.931866	-46.4443
