# Age (kyr)	GMGSL (m)Miller et al. (2024)
8.992100	-17.6766
8.994700	-26.3000
8.997200	-22.0176
8.999700	-16.3036
9.002300	-10.0896
9.004800	-14.8589
9.007300	-9.5994
9.009800	-7.2063
9.012400	-18.6553
9.014900	-18.1703
9.017400	-26.7507
9.020000	-22.4478
9.022500	-14.8083
9.025000	-15.2781
9.030100	-15.2636
9.032600	-7.1541
9.035100	8.5774
9.037200	-0.9494
9.039400	2.8659
9.043700	-2.8423
9.045800	-3.7905
9.050200	1.4555
9.052300	-11.3934
9.054500	-1.3927
9.056600	-3.2922
9.061000	-8.9924
9.063100	-17.5503
9.065300	-23.2518
9.067400	-18.4891
9.069600	-22.2869
9.071700	-18.9519
9.073900	-19.4209
9.076100	-9.9069
9.078200	-17.0315
9.080400	-10.3716
9.082500	-16.5441
9.084700	-20.8143
9.086800	-19.3826
9.089000	-19.8512
9.091200	-24.5946
9.093300	-22.2131
9.095500	-17.9323
9.097600	-19.8256
9.099800	-18.8695
9.102000	-11.2672
9.104100	-19.3317
9.106300	-10.3069
9.108400	-7.4541
9.110600	-10.7707
9.112700	-10.2908
9.114900	-12.1831
9.117100	-3.6381
9.119200	-9.3258
9.121400	-13.5891
9.123500	-14.0578
9.125700	-11.2065
9.127900	-3.6141
9.130000	-5.0318
9.132200	-3.6045
9.134300	-3.1258
9.136500	-21.6064
9.138600	-15.9127
9.140800	-16.3805
9.143000	-12.1097
9.145100	-6.4185
9.147300	-9.7296
9.149400	-12.0929
9.151600	-8.2978
9.153700	-4.0301
9.155900	-2.6044
9.158100	-4.4937
9.160200	-16.3258
9.162400	-10.1651
9.164500	-9.6863
9.166700	-11.1008
9.168900	-12.5150
9.171000	-2.5714
9.173200	-6.3522
9.175300	-11.5519
9.177500	-2.0842
9.179600	4.0700
9.181800	-6.8050
9.184000	-12.4753
9.186100	-12.4698
9.188300	-26.1770
9.190400	-19.0780
9.192600	-22.3809
9.194800	-13.3926
9.196900	-15.7504
9.199100	-17.6348
9.201200	-16.6837
9.203400	-17.1501
9.205500	-12.4195
9.207700	-12.8863
9.209900	-14.2977
9.216300	-27.5027
9.218500	-28.9120
9.220600	-23.2396
9.222800	-24.1770
9.224900	-27.0025
9.227100	-24.6356
9.229200	-19.9101
9.231300	-18.0167
9.233400	-15.6519
9.235600	-15.1743
9.237700	-14.2255
9.239800	-12.3335
9.241900	-17.0444
9.244000	-13.2664
9.246200	-13.2610
9.248300	-8.5414
9.250400	-17.0218
9.252500	-22.2010
9.254700	-21.2521
9.256800	-27.3721
9.258900	-24.0673
9.261000	-23.5899
9.263200	-26.8810
9.265300	-27.8166
9.267400	-17.9196
9.269500	-25.4489
9.271600	-21.6756
9.273800	-17.9030
9.275900	-11.3068
9.278000	-15.5386
9.280100	-11.2974
9.282300	-11.7632
9.284400	-13.6408
9.286500	-8.9307
9.288600	-10.3378
9.290800	-17.8598
9.292900	-24.4397
9.295000	-6.0913
9.297100	-15.4928
9.299200	-15.0176
9.301400	-15.4827
9.303500	-12.6570
9.305600	-18.2934
9.307700	-9.3576
9.309900	-10.2931
9.312000	-6.9992
9.314100	-8.8747
9.316200	-3.7022
9.318400	-1.8191
9.320500	-11.6806
9.322600	-14.0248
9.324700	-11.6718
9.326900	-15.4242
9.329000	-15.4195
9.331100	-21.5189
9.333200	-24.8002
9.335300	-21.0390
9.337500	-15.4005
9.339600	-17.7428
9.341700	-9.7592
9.343800	-15.3866
9.346000	-13.5047
9.348100	-11.1541
9.350200	-6.4580
9.352300	-5.5158
9.354500	-5.5117
9.356600	-9.7295
9.358700	-3.6278
9.360800	-15.3492
9.362900	-12.9997
9.365100	-12.0572
9.367200	-16.7418
9.369300	-20.0192
9.371400	-10.1687
9.373600	-20.4779
9.375700	-6.8785
9.377800	-11.5618
9.379900	-12.0261
9.382100	-4.9912
9.384200	-7.7990
9.386300	-4.0458
9.388400	1.5813
9.390500	-4.9748
9.392700	-8.7187
9.394800	-11.9939
9.396900	-16.2055
9.399000	-18.5429
9.401200	-20.8796
9.403300	-13.3801
9.405400	-18.5273
9.407500	-15.2437
9.409700	-17.5800
9.411800	-22.2576
9.413900	-16.6330
9.416000	-18.5007
9.418100	-24.1138
9.420300	-20.8305
9.422400	-16.6114
9.424500	-12.8609
9.426600	-18.0048
9.428800	2.5966
9.430900	-8.1640
9.433000	-4.8826
9.435100	-9.5575
9.437300	-7.2119
9.439400	-18.9051
9.441500	-10.9444
9.443600	-20.7643
9.445700	-15.1435
9.447900	-20.7510
9.450000	-24.4868
9.452100	-14.6567
9.454200	-17.4567
9.456400	-13.7080
9.458500	-14.6368
9.460600	-13.6949
9.462700	-20.7022
9.464900	-14.6161
9.467000	-18.8168
9.469100	-8.9919
9.471200	-8.9851
9.473300	-6.6410
9.475500	-7.1013
9.477600	-10.3657
9.479700	-3.8161
9.481800	-8.9490
9.484000	-9.8756
9.486100	-0.5245
9.488200	-16.8670
9.490300	-14.9901
9.492500	-21.0525
9.496700	-17.2981
9.498800	-21.0239
9.500900	-14.4784
9.503100	-17.2693
9.505200	-15.3927
9.507300	-12.5831
9.509400	-11.1738
9.511600	-13.9630
9.513700	-3.6907
9.517900	-5.5384
9.520500	4.2645
9.522600	-2.7204
9.524700	-19.0254
9.526800	-15.7512
9.529000	-20.3989
9.531100	-17.5911
9.533200	-19.9081
9.535300	-20.8268
9.537500	-18.4848
9.539600	-15.2130
9.541700	-15.6660
9.543800	-10.9993
9.546000	-14.2438
9.548100	-14.2309
9.550200	-6.3108
9.552300	-10.4844
9.554400	-4.8926
9.556600	0.2327
9.558700	-3.4745
9.560800	-2.5336
9.562900	-8.5609
9.565100	-5.2963
9.567200	-14.5700
9.568900	-18.7360
9.571000	-15.0072
9.573100	-14.9919
9.575300	-8.4814
9.577400	-14.0326
9.579500	-13.0897
9.581600	-8.4388
9.583700	-11.2048
9.585900	-7.0191
9.588000	-2.8362
9.590100	-6.9900
9.592200	0.4312
9.594400	-5.5713
9.596500	2.3082
9.598600	9.2583
9.600700	4.6453
9.602900	5.5825
9.605000	-5.0334
9.607100	-13.3330
9.609200	-16.5476
9.613500	-17.8925
9.615600	-20.1793
9.617700	-19.2359
9.619800	-23.3646
9.622000	-7.2095
9.624100	-15.4857
9.626200	-10.8595
9.628300	-6.2363
9.630500	-3.9167
9.632600	-3.8999
9.634700	-2.0432
9.636800	-2.0268
9.638900	-6.6066
9.641100	-13.0198
9.643200	-3.8132
9.645300	-6.0913
9.647400	-13.8750
9.649600	-3.7592
9.651700	-6.4929
9.653800	-1.4309
9.655900	-9.2041
9.658100	-5.0599
9.660200	-7.7884
9.664400	-10.9508
9.666500	-5.4405
9.668700	-4.0483
9.670800	-1.2870
9.672900	-5.8370
9.675000	-2.6202
9.677200	-3.0567
9.679300	7.4570
9.681400	2.9114
9.683500	-1.1746
9.685700	1.1238
9.687800	-4.7799
9.689900	-13.4106
9.692000	-7.4693
9.694100	-18.8213
9.696300	-19.7027
9.698400	-14.2204
9.700500	-12.8321
9.702600	-18.2576
9.704800	-10.9653
9.706900	-12.3025
9.709000	-10.4632
9.711100	-4.5447
9.713300	-3.6155
9.715400	-8.5770
9.717500	-7.1948
9.719500	-0.8360
9.721400	-8.9614
9.723400	-4.8680
9.725000	-0.3297
9.727300	-10.7006
9.729300	-10.6766
9.731200	-18.7811
9.733200	-14.6914
9.735100	-16.9225
9.737100	-19.6012
9.739100	-20.0237
9.741000	-17.2931
9.743000	-8.7080
9.744900	-1.4817
9.746900	-12.2615
9.748800	-5.4895
9.750800	-5.0170
9.752800	-2.7470
9.754700	-5.4221
9.756700	-3.1536
9.758600	4.0499
9.761000	0.9320
9.763000	2.2980
9.764900	3.2135
9.766900	-0.3516
9.768800	1.9082
9.770800	-0.7579
9.772700	-5.6604
9.774700	-20.3993
9.776700	-11.4259
9.778600	-11.4008
9.780600	-14.9486
9.782500	-6.8832
9.784500	-10.4299
9.786500	-1.9257
9.788400	1.2179
9.790400	-0.9900
9.792300	5.2703
9.794300	-0.5010
9.796200	-10.2757
9.798200	-4.0182
9.800200	0.0095
9.802100	0.9200
9.804100	-4.8367
9.806000	-0.8147
9.808000	-9.2303
9.810000	-7.8722
9.811900	-16.2787
9.813900	-2.4991
9.815800	-24.6449
9.817800	-15.7481
9.819700	-17.9350
9.821400	-31.1937
9.823100	-22.7523
9.824500	-8.5686
9.834600	-7.5510
9.836300	3.9475
9.838000	-1.7702
9.839700	0.4554
9.841400	0.9159
9.843100	-1.7090
9.844800	-3.0103
9.846500	-3.4297
9.848200	0.1134
9.849800	-5.5891
9.851500	4.9912
9.853200	-10.8222
9.854900	-18.2714
9.856600	-12.5318
9.858300	-15.5820
9.860000	-12.9214
9.861700	-12.0186
9.863400	-9.7999
9.865100	-8.0216
9.866800	-6.6829
9.868500	-2.7154
9.870100	-8.3912
9.871800	-6.6157
9.873500	-3.0902
9.875200	-4.8193
9.876900	-13.1096
9.878600	-7.8360
9.880300	-7.8126
9.882000	5.7587
9.883700	-2.5231
9.885400	19.3337
9.887100	8.4338
9.888800	-3.3308
9.890400	7.1595
9.892100	-5.4683
9.893800	-4.5736
9.895500	-8.4727
9.897200	-11.9333
9.898900	-13.6496
9.900600	-13.1882
9.902300	-9.2462
9.904000	-10.9615
9.905700	-9.1971
9.907400	1.2588
9.909000	0.4094
9.910700	-3.9127
9.912400	-4.7582
9.914100	-4.7350
9.915800	-3.8441
9.917500	-3.3875
9.919200	-3.3647
9.920900	2.7254
9.922600	-1.5861
9.924300	-1.1308
9.926000	-5.4377
9.927700	-1.0865
9.929300	-6.6894
9.931000	-10.9895
9.932700	-7.0730
9.934400	-6.6163
9.936100	-10.4796
9.937800	-2.6811
9.939500	-6.1113
9.941200	-16.4429
9.942900	-6.9251
9.944600	-12.5059
9.946300	-0.4100
9.948000	-5.9889
9.949600	-5.5351
9.951300	-2.9271
9.953000	-2.0427
9.954700	2.2833
9.956400	2.7353
9.958100	4.4768
9.959800	3.6383
9.961500	-2.3552
9.963200	-1.0430
9.964900	6.7084
9.966600	2.4372
9.968300	2.8884
9.969900	5.9113
9.971600	5.0750
9.973300	7.2393
9.975000	6.8316
9.976700	2.9982
9.978400	10.7266
9.980100	5.6107
9.981800	-3.7794
9.983500	2.6604
9.985600	-1.5860
9.991700	10.8822
9.994700	6.2249
9.997700	11.8066
10.001000	4.1687
10.004000	4.6120
10.007000	11.0123
10.010000	11.4511
10.013000	1.2651
10.016000	8.0808
10.019000	-8.4563
10.022000	-2.4908
10.025000	-2.0434
10.028000	-6.2561
10.031000	-5.8062
10.034000	-5.3566
10.037000	-4.4844
10.040000	-3.1906
10.043000	-1.4756
10.046000	-1.0287
10.049000	2.3702
10.055000	6.6285
10.058000	3.7032
10.061000	3.7263
10.064000	1.6479
10.067000	9.2348
10.070000	-1.6602
10.073000	4.6610
10.076000	-1.6041
10.079000	2.6144
10.082000	2.6404
10.086000	4.3489
10.089000	-4.8235
10.095000	3.5910
10.098000	2.7834
10.101000	12.8186
10.104000	7.4226
10.107000	7.0312
10.110000	0.8142
10.113000	-0.8195
10.116000	5.0301
10.119000	-5.7410
10.122000	-8.1965
10.125000	-5.6713
10.128000	-5.6361
10.131000	-4.7724
10.134000	-5.5655
10.137000	-0.9796
10.139000	8.1388
10.142000	-1.3384
10.145000	9.4308
10.148000	0.7911
10.151000	-0.0018
10.154000	-2.4418
10.157000	3.7696
10.160000	5.4459
10.163000	10.4101
10.166000	3.8603
10.169000	-1.8591
10.172000	-0.1832
10.175000	-1.7905
10.178000	2.3425
10.181000	0.7358
10.184000	7.7265
10.188000	2.8570
10.191000	8.6093
10.194000	8.2285
10.197000	4.9919
10.200000	4.6143
10.203000	1.3850
10.206000	5.0826
10.209000	2.6714
10.212000	-9.0884
10.215000	10.0494
10.218000	3.1738
10.221000	12.1320
10.224000	6.8867
10.227000	11.7778
10.230000	7.3504
10.233000	-4.3525
10.236000	-1.8891
10.239000	4.2064
10.242000	0.6053
10.245000	3.8667
10.251000	0.7094
10.254000	0.3418
10.257000	6.8110
10.260000	0.8143
10.263000	4.0614
10.266000	1.6871
10.269000	4.1271
10.272000	5.7623
10.275000	6.5946
10.278000	5.8261
10.281000	9.0548
10.284000	5.8903
10.287000	3.9279
10.290000	4.3606
10.293000	3.1996
10.296000	-2.7346
10.299000	-4.6826
10.302000	-3.0516
10.305000	-3.0108
10.308000	-9.7122
10.311000	-5.7028
10.314000	-3.6795
10.316000	-1.2773
10.318000	4.2861
10.321000	9.4582
10.323000	8.2942
10.325000	8.3157
10.328000	4.4047
10.330000	2.8523
10.333000	10.3708
10.335000	3.7017
10.337000	6.4793
10.340000	8.8714
10.342000	14.3909
10.344000	12.8395
10.347000	10.9083
10.349000	6.2266
10.351000	3.1171
10.354000	0.8079
10.356000	3.9633
10.359000	7.1267
10.361000	8.7120
10.363000	9.9052
10.366000	9.1584
10.368000	8.7912
10.370000	2.5840
10.375000	-1.2370
10.378000	-0.4163
10.380000	-1.5521
10.382000	-3.4621
10.385000	-3.0283
10.387000	-1.0610
10.389000	7.0974
10.392000	-0.6004
10.394000	2.5209
10.396000	0.2310
10.399000	11.0793
10.402000	-5.0793
10.404000	3.0442
10.406000	3.4567
10.409000	2.3436
10.411000	5.4472
10.414000	4.7183
10.416000	7.0481
10.418000	6.6897
10.421000	4.8118
10.423000	4.8386
10.425000	6.3965
10.428000	-0.4480
10.430000	0.7287
10.433000	2.6820
10.435000	2.3287
10.437000	3.8827
10.440000	5.4481
10.442000	6.2364
10.444000	7.0236
10.447000	-8.1444
10.449000	5.9483
10.451000	13.9485
10.453000	7.1397
10.456000	18.1728
10.458000	12.8875
10.460000	13.6671
10.462000	15.9595
10.464000	11.4416
10.466000	9.5749
10.468000	3.1776
10.469000	2.8141
10.471000	0.5780
10.473000	8.1513
10.475000	5.5378
10.477000	4.0576
10.478000	8.5908
10.480000	8.2392
10.482000	9.7689
10.484000	9.0412
10.485000	5.6709
10.487000	7.9511
10.489000	7.2254
10.491000	9.1268
10.492000	9.1390
10.494000	10.2879
10.496000	12.5593
10.498000	10.3351
10.500000	8.8617
10.501000	7.7516
10.503000	7.0287
10.505000	1.0751
10.507000	5.2118
10.512000	5.2769
10.514000	7.1665
10.515000	9.4147
10.517000	14.2798
10.519000	7.2282
10.521000	12.4611
10.523000	6.1617
10.524000	10.2631
10.526000	9.9142
10.528000	12.1648
10.530000	11.4440
10.531000	13.6810
10.533000	15.1848
10.535000	13.3512
10.537000	7.8149
10.538000	10.4190
10.540000	5.6286
10.542000	3.0629
10.544000	6.7860
10.546000	4.9612
10.547000	6.0817
10.549000	2.7810
10.551000	2.0675
10.553000	2.0924
10.554000	1.3671
10.556000	2.1294
10.558000	0.6797
10.560000	9.1768
10.561000	6.6092
10.563000	3.6863
10.565000	2.9734
10.567000	10.7194
10.569000	11.8415
10.570000	12.2184
10.572000	9.2980
10.574000	11.1535
10.576000	12.6401
10.577000	13.0158
10.579000	10.8325
10.581000	9.3840
10.583000	11.9679
10.584000	10.5110
10.586000	10.5287
10.588000	12.3767
10.590000	10.1974
10.592000	6.1904
10.593000	4.7366
10.595000	4.0242
10.597000	2.2156
10.599000	3.3309
10.600000	4.0707
10.602000	8.4706
10.604000	15.4224
10.606000	11.7870
10.607000	15.0778
10.609000	18.3736
10.611000	19.8440
10.613000	23.8646
10.615000	16.5872
10.616000	17.3218
10.618000	14.7839
10.620000	11.1552
10.622000	12.6239
10.623000	16.2693
10.625000	19.1910
10.627000	17.7460
10.629000	20.3015
10.631000	17.7659
10.632000	18.4977
10.634000	15.9632
10.636000	13.4296
10.638000	8.3544
10.640000	6.9126
10.641000	-3.6120
10.643000	6.9286
10.645000	6.2129
10.647000	8.7630
10.649000	8.4094
10.651000	11.3202
10.652000	12.7750
10.654000	16.0465
10.656000	23.3051
10.658000	12.7968
10.660000	12.4409
10.663000	12.0877
10.665000	8.8323
10.667000	9.2004
10.669000	9.2058
10.671000	8.8486
10.674000	8.1311
10.676000	6.6865
10.678000	7.4146
10.680000	-0.1865
10.682000	3.4378
10.685000	8.5110
10.687000	2.3576
10.689000	4.5316
10.691000	4.5327
10.694000	7.4299
10.696000	5.6196
10.698000	7.7915
10.700000	12.8598
10.702000	9.2376
10.705000	15.7532
10.707000	9.5947
10.709000	19.0084
10.711000	21.9035
10.713000	21.5387
10.716000	23.7080
10.718000	21.5308
10.725000	8.4664
10.727000	8.0967
10.729000	7.3640
10.731000	8.0813
10.733000	4.8081
10.736000	8.4220
10.738000	6.5977
10.740000	18.5666
10.742000	13.4749
10.745000	19.2716
10.747000	21.8055
10.749000	21.7967
10.751000	13.4269
10.753000	14.1422
10.756000	12.6688
10.758000	11.5638
10.760000	17.7377
10.762000	14.4480
10.764000	21.7185
10.767000	16.9628
10.769000	19.5004
10.771000	26.4155
10.773000	18.7426
10.776000	25.6557
10.778000	21.9910
10.780000	30.3791
10.782000	18.6719
10.785000	13.1608
10.787000	6.1890
10.790000	3.5906
10.792000	1.0007
10.794000	-0.4925
10.797000	-4.2034
10.799000	-0.1986
10.806000	4.8397
10.809000	6.2668
10.811000	5.1331
10.813000	4.3658
10.816000	3.9496
10.818000	7.6051
10.820000	6.0981
10.823000	10.8509
10.825000	6.3856
10.828000	5.5950
10.830000	6.3007
10.832000	4.7840
10.835000	3.9881
10.837000	5.8053
10.840000	6.1214
10.842000	4.2257
10.844000	3.0710
10.847000	3.0102
10.849000	7.8119
10.851000	1.8093
10.854000	2.1179
10.856000	1.3277
10.859000	2.3826
10.861000	7.9500
10.866000	7.8478
10.868000	11.9319
10.873000	9.5793
10.875000	7.2816
10.878000	8.3453
10.880000	13.5771
10.882000	10.8979
10.885000	4.7951
10.887000	5.8812
10.890000	9.9721
10.892000	1.9791
10.894000	4.9595
10.897000	5.2664
10.899000	6.3569
10.901000	3.6502
10.904000	2.4341
10.906000	7.7115
10.909000	0.0191
10.911000	0.7283
10.913000	4.4917
10.916000	3.2697
10.918000	3.2181
10.920000	7.3765
10.923000	-1.1265
10.925000	0.3522
10.928000	-0.1134
10.930000	0.6004
10.932000	0.1615
10.935000	-0.3054
10.937000	1.5660
10.940000	3.8001
10.942000	4.1342
10.944000	11.8095
10.947000	9.8071
10.949000	11.3083
10.951000	12.4245
10.954000	9.2544
10.956000	13.0881
10.959000	13.4101
10.961000	11.8107
10.963000	12.1547
10.966000	5.8548
10.968000	8.9242
10.970000	5.3664
10.973000	4.5115
10.975000	2.5078
10.978000	3.2142
10.980000	0.8151
10.982000	2.7226
10.985000	3.4323
10.987000	4.5607
10.989000	4.1200
10.992000	6.4068
10.994000	4.0005
10.997000	4.7171
10.999000	5.4587
11.001000	2.6585
11.004000	4.5773
11.006000	0.5937
11.009000	2.1197
11.011000	1.2934
11.013000	4.4239
11.016000	7.9391
11.018000	7.5122
11.020000	10.6541
11.023000	14.5810
11.024000	11.3920
11.026000	16.5289
11.028000	15.7101
11.029000	10.1320
11.031000	4.9339
11.033000	3.7106
11.034000	4.8900
11.036000	-1.9101
11.038000	-1.5433
11.039000	-2.7549
11.041000	-1.1911
11.043000	-4.0145
11.045000	-4.4450
11.046000	-4.4604
11.048000	-6.0889
11.050000	-3.3220
11.051000	-4.5358
11.053000	-2.9651
11.055000	-0.5923
11.056000	0.9956
11.058000	-7.0384
11.060000	0.1439
11.061000	-5.0774
11.063000	-0.6945
11.065000	-6.7345
11.066000	-3.9398
11.068000	-3.1619
11.070000	5.2442
11.071000	4.4313
11.073000	3.2062
11.075000	-0.8323
11.076000	2.3725
11.078000	1.1469
11.080000	1.5295
11.082000	-0.5007
11.083000	-0.5102
11.085000	-2.1392
11.087000	-6.5871
11.088000	-4.9858
11.090000	-4.6017
11.092000	-2.6042
11.093000	-5.4341
11.095000	-9.4834
11.097000	-11.1141
11.098000	-6.6858
11.100000	-6.7020
11.102000	-5.9097
11.103000	-1.0731
11.105000	2.9515
11.107000	-1.9057
11.108000	1.7236
11.110000	0.0968
11.112000	1.2991
11.113000	4.1235
11.115000	0.8807
11.117000	7.7462
11.119000	6.1219
11.120000	3.2873
11.122000	3.6856
11.124000	2.8703
11.125000	8.5326
11.127000	2.8626
11.129000	-1.5948
11.130000	-6.0506
11.132000	3.2574
11.134000	-4.0349
11.135000	-2.8218
11.137000	-2.8244
11.139000	2.0345
11.140000	5.2748
11.142000	2.8439
11.144000	6.4908
11.145000	18.6481
11.147000	11.7614
11.149000	9.3319
11.151000	5.6868
11.153000	6.9061
11.155000	2.4504
11.157000	3.6711
11.159000	5.7031
11.161000	5.7088
11.163000	10.9861
11.165000	3.6943
11.167000	6.5404
11.169000	2.8990
11.171000	-6.4182
11.173000	-9.2469
11.175000	-9.6425
11.178000	-7.1927
11.180000	-9.6135
11.182000	-4.3301
11.184000	-0.6684
11.186000	-1.4653
11.188000	3.8185
11.190000	-3.8675
11.192000	0.6067
11.194000	0.2178
11.196000	-1.7910
11.198000	-2.9882
11.200000	1.8911
11.202000	-3.7598
11.204000	-4.9543
11.206000	-2.0989
11.208000	-1.2676
11.210000	-4.8885
11.212000	-4.0554
11.214000	-6.8636
11.216000	-4.8158
11.218000	-4.3856
11.220000	-1.9337
11.222000	0.1142
11.224000	9.0320
11.226000	0.5721
11.228000	-1.0157
11.230000	-3.0062
11.232000	7.9248
11.234000	12.7958
11.236000	9.5949
11.238000	14.4639
11.240000	6.0231
11.242000	-0.3956
11.244000	-1.1681
11.246000	-4.3563
11.248000	-0.2929
11.250000	2.5603
11.252000	5.4126
11.254000	3.8382
11.256000	-1.7552
11.258000	6.7245
11.260000	13.9923
11.262000	13.2230
11.264000	3.2214
11.266000	1.6557
11.268000	2.0976
11.270000	4.9448
11.272000	0.1769
11.274000	5.0265
11.276000	5.8688
11.278000	8.7117
11.280000	16.7514
11.283000	13.6109
11.285000	4.4634
11.287000	5.3073
11.289000	3.7565
11.291000	-3.7738
11.293000	-3.7223
11.295000	-10.8406
11.298000	-1.2029
11.301000	-1.5221
11.304000	-5.0175
11.307000	-6.9172
11.309000	-1.7020
11.312000	1.5524
11.315000	-0.3453
11.318000	2.5088
11.321000	2.1972
11.324000	-0.0860
11.326000	4.3119
11.329000	0.4564
11.332000	2.5146
11.335000	1.8171
11.338000	3.4791
11.340000	2.3616
11.343000	7.1579
11.346000	2.9384
11.349000	5.7696
11.352000	1.9544
11.354000	-0.3233
11.357000	4.8451
11.360000	6.1079
11.363000	1.9242
11.366000	15.6194
11.368000	23.4375
11.371000	11.4959
11.374000	6.1666
11.377000	10.5175
11.380000	6.7492
11.383000	2.2207
11.385000	12.6934
11.388000	7.3988
11.391000	12.1096
11.394000	9.5175
11.397000	9.9989
11.399000	3.9383
11.402000	1.3686
11.405000	-3.4843
11.408000	0.8284
11.411000	0.9412
11.413000	3.6797
11.416000	7.2085
11.419000	6.5552
11.422000	10.8291
11.425000	11.3086
11.427000	11.3759
11.430000	14.4961
11.433000	18.7387
11.436000	12.8090
11.439000	15.5397
11.442000	8.1315
11.444000	10.0777
11.447000	12.8032
11.450000	15.8950
11.453000	8.9002
11.456000	11.2442
11.458000	-0.9743
11.461000	6.5847
11.464000	11.8946
11.467000	13.8526
11.470000	6.1796
11.472000	3.6660
11.475000	12.2773
11.478000	9.0627
11.481000	14.3278
11.484000	10.7524
11.486000	12.6609
11.489000	9.0971
11.492000	3.3462
11.495000	5.6593
11.498000	11.6188
11.501000	13.9141
11.503000	8.1532
11.506000	10.0846
11.509000	10.9207
11.512000	7.4011
11.515000	7.5147
11.517000	19.1727
11.520000	9.5112
11.523000	11.7877
11.526000	7.5708
11.529000	6.9651
11.531000	7.4013
11.534000	9.6700
11.537000	9.0643
11.540000	14.9047
11.543000	15.3664
11.545000	11.1497
11.548000	12.6861
11.551000	11.7253
11.554000	13.9683
11.557000	19.7567
11.560000	22.3371
11.562000	17.4400
11.565000	12.9422
11.568000	11.2838
11.571000	5.0440
11.574000	6.5726
11.576000	5.9469
11.579000	10.6345
11.582000	19.5208
11.585000	24.8774
11.588000	15.8697
11.590000	12.0933
11.593000	14.2985
11.596000	20.3332
11.599000	15.2092
11.602000	15.6629
11.604000	16.7754
11.607000	14.4512
11.610000	21.1399
11.613000	10.1692
11.616000	7.5194
11.619000	8.6715
11.621000	10.1270
11.624000	21.5962
11.627000	18.6011
11.630000	21.7910
11.633000	18.1191
11.635000	22.2953
11.638000	17.9479
11.640000	17.6750
11.642000	26.6142
11.645000	23.9790
11.647000	18.5958
11.649000	10.5026
11.651000	9.2193
11.654000	13.0658
11.656000	14.1555
11.658000	10.8416
11.660000	17.0053
11.663000	17.1089
11.665000	15.4908
11.667000	17.9210
11.669000	12.9374
11.672000	12.0378
11.674000	8.0799
11.676000	14.1990
11.678000	11.9233
11.680000	9.3173
11.683000	7.4245
11.685000	15.8569
11.687000	10.9189
11.689000	9.9929
11.694000	23.4890
11.696000	17.5684
11.698000	20.2924
11.703000	21.4484
11.705000	19.5270
11.707000	28.8480
11.710000	16.7203
11.712000	19.0966
11.714000	20.1507
11.716000	20.5445
11.719000	23.2695
11.721000	21.3616
11.727000	18.2791
11.730000	11.8443
11.732000	15.8338
11.734000	12.9682
11.736000	13.0400
11.739000	16.7249
11.741000	13.2191
11.743000	19.4568
11.745000	17.5767
11.748000	17.6770
11.750000	20.9775
11.752000	19.7487
11.754000	19.8133
11.757000	19.5880
11.759000	21.2619
11.766000	17.3141
11.768000	19.3030
11.770000	19.0484
11.772000	18.7941
11.774000	16.9444
11.777000	21.8270
11.779000	19.3425
11.781000	21.6340
11.783000	22.6498
11.786000	21.7909
11.788000	22.4872
11.790000	23.4987
11.792000	28.3012
11.795000	25.2288
11.797000	25.6030
11.799000	27.8659
11.802000	30.1506
11.804000	24.8662
11.807000	24.6422
11.810000	22.8546
11.815000	26.7543
11.817000	19.6432
11.820000	16.6307
11.823000	25.1215
11.825000	26.4225
11.828000	18.1477
11.831000	20.4142
11.836000	27.0519
11.839000	18.5225
11.841000	17.3612
11.844000	22.6816
11.847000	25.5331
11.850000	22.8719
11.852000	25.0728
11.855000	20.8968
11.858000	25.8639
11.860000	19.5422
11.863000	26.0142
11.866000	23.9848
11.868000	25.5596
11.871000	21.4245
11.874000	20.9207
11.876000	23.6961
11.879000	22.5894
11.882000	22.6865
11.884000	19.4567
11.887000	19.8588
11.889000	17.8370
11.892000	17.9433
11.894000	19.2048
11.896000	16.5983
11.899000	16.1136
11.902000	18.5931
11.904000	17.4799
11.907000	19.6545
11.910000	23.0003
11.912000	26.3036
11.915000	22.8686
11.917000	24.1077
11.920000	21.8594
11.922000	25.1444
11.924000	24.0378
11.927000	28.8006
11.929000	28.2758
11.931000	24.8423
11.934000	24.6459
11.936000	23.8384
11.938000	16.6582
11.941000	22.2625
11.943000	18.5726
11.945000	19.5084
11.948000	17.0195
11.950000	23.1325
11.952000	23.1970
11.955000	27.8825
11.957000	25.9358
11.959000	25.9967
11.962000	23.8029
11.964000	23.0103
11.966000	19.9400
11.969000	19.7570
11.971000	18.4042
11.973000	23.5817
11.980000	23.2366
11.983000	30.6674
11.985000	26.4945
11.987000	26.5537
11.992000	29.7890
11.994000	31.2462
11.997000	32.7260
11.999000	35.2943
12.001000	36.7395
12.004000	34.0213
12.006000	33.7926
12.008000	30.2254
12.010000	29.4454
12.013000	29.5270
12.015000	31.7987
12.017000	28.8046
12.019000	27.7530
12.022000	26.7319
12.024000	25.6850
12.026000	27.6716
12.028000	31.8563
12.031000	35.2309
12.033000	31.9831
12.035000	34.7765
12.038000	31.8349
12.040000	26.4129
12.042000	30.8418
12.044000	31.9850
12.047000	30.4234
12.049000	36.1945
12.051000	31.8858
12.053000	30.5757
12.056000	26.3078
12.058000	25.2771
12.060000	24.2483
12.062000	27.2817
12.065000	30.8747
12.067000	36.8650
12.069000	33.6707
12.071000	35.8733
