Age_Ma,Pacific (million km²),Atlantic (million km²),Indian (million km²),Sum (million km²)
22.5,168.17648299515722,61.18125625194858,61.828447821326364,291.1861870684322
23.0,168.8476584512441,60.91963616153943,61.33117298132442,291.0984675941079
23.5,169.45513232609693,60.6547965019236,60.93353731123631,291.0434661392569
24.0,169.9734902777389,60.39243947974699,60.683205477921355,291.0491352354073
24.5,170.37731796419297,60.138267301655546,60.62784214823892,291.1434274140874
25.0,170.6412010434822,59.89798217429519,60.81511198904833,291.3542952068257
25.5,170.7475367386124,59.67582847507518,61.276201094728705,291.6995663084163
26.0,170.7099685325207,59.470219264458045,61.976381269738205,292.156569066717
26.5,170.54995147312695,59.278109773669634,62.86444574605477,292.69250699285135
27.0,170.28894060835103,59.096455233935785,63.88918775565636,293.27458359794315
27.5,169.94839098611288,58.92221087648236,64.9994005305209,293.8700023931161
28.0,169.54975765433235,58.752331932535206,66.14387730262636,294.44596688949395
28.5,169.1144956609294,58.583773633320156,67.27141130395066,294.9696805982002
29.0,168.66406005382387,58.413491210063086,68.33079576647172,295.4083470303587
29.5,168.2199058809357,58.23843989398982,69.27082392216754,295.729169697093
30.0,167.8034881901847,58.05557491632622,70.040289003016,295.89935210952694
30.5,167.432765861099,57.86255173270526,70.60117144445408,295.8964890382583
31.0,167.11171309963913,57.65982669638843,70.96820049575474,295.7397402917823
31.5,166.84080794337396,57.448556385044334,71.16929260964993,295.4586569380682
32.0,166.62052842987214,57.22989737634159,71.23236423887163,295.08279004508535
32.5,166.45135259670252,57.005006247948806,71.18533183615178,294.6416906808031
33.0,166.33375848143388,56.775039577534606,71.05611185422234,294.16490991319085
33.5,166.2682241216349,56.5411539427676,70.87262074581527,293.6819988102178
34.0,166.25522755487438,56.3045059213164,70.66277496366257,293.22250843985336
34.5,166.29524681872113,56.0662520908496,70.45449096049616,292.8159898700669
35.0,166.3887599507439,55.82754902903584,70.27568518904803,292.4919941688278
35.5,166.53519740646254,55.58934043135139,70.14849163273429,292.2730294705482
36.0,166.72979931320137,55.35171846450315,70.0719143977077,292.15343217541226
36.5,166.96675821623586,55.11456241300571,70.03917512080521,292.1204957500468
37.0,167.24026666084146,54.87775156137363,70.04349543886377,292.16151366107886
37.5,167.5445171922936,54.641165194121484,70.07809698872026,292.26377937513536
38.0,167.87370235586772,54.40468259576386,70.13620140721163,292.4145863588433
38.5,168.22201469683927,54.16818305081532,70.21103033117483,292.6012280788294
39.0,168.58364676048365,53.93154584379045,70.29580539744678,292.81099800172086
39.5,168.95279109207635,53.69465025920382,70.38374824286443,293.0311895941446
40.0,169.3236402368928,53.45737558157,70.46808050426468,293.2490963227275
40.5,169.6909227494091,53.21967916017337,70.5434774955954,293.4540794051779
41.0,170.0515112209041,52.981830603377524,70.61042923924806,293.6437710635297
41.5,170.40281425185722,52.74417758431588,70.67087943472512,293.81787127089825
42.0,170.74224044274797,52.50706777612182,70.72677178152897,293.97608000039884
42.5,171.06719839405588,52.27084885192876,70.78004997916199,294.1180972251466
43.0,171.3750967062603,52.035868484870115,70.83265772712664,294.2436229182571
43.5,171.66334397984082,51.802474348079265,70.88653872492532,294.35235705284543
44.0,171.92934881527688,51.57101411468962,70.94363667206046,294.443999602027
44.5,172.170519813048,51.341835457834584,71.00589526803446,294.5182505389171
45.0,172.3842655736336,51.11528605064757,71.07525821234971,294.5748098366309
45.5,172.56948220588245,50.89131157449307,71.15310793928639,294.61390171966195
46.0,172.73101585212044,50.66824974366005,71.23858182223549,294.63784741801595
46.5,172.8752001630426,50.44403628066853,71.33025596936584,294.6494924130769
47.0,173.00836878934408,50.21660690803857,71.42670648884612,294.6516821862288
47.5,173.13685538171998,49.983897348290235,71.52650948884516,294.6472622188554
48.0,173.26699359086547,49.74384332394356,71.62824107753171,294.6390779923408
48.5,173.4051170674756,49.494380557518575,71.73047736307453,294.62997498806874
49.0,173.55755946224548,49.23344477153537,71.83179445364237,294.62279868742326
49.5,173.73065442587028,48.95897168851396,71.930768457404,294.6203945717882
50.0,173.93073560904503,48.668897030974414,72.02597548252818,294.62560812254765
50.5,174.16212537510725,48.362215956536986,72.11627106404661,294.6406123956908
51.0,174.42110093796376,48.04216136322279,72.20162844444269,294.66489074562924
51.5,174.7019282241638,47.71302558415317,72.28230029306276,294.6972541013797
52.0,174.9988731602565,47.379100952449456,72.35853927925312,294.7365133919591
52.5,175.30620167279108,47.044679801232974,72.43059807236014,294.7814795463842
53.0,175.61817968831673,46.71405446362508,72.49872934173015,294.83096349367196
53.5,175.92907313338267,46.39151727274708,72.56318575670944,294.8837761628392
54.0,176.23314793453807,46.08136056172033,72.6242199866444,294.9387284829028
54.5,176.52467001833216,45.78787666366615,72.68208470088132,294.9946313828796
55.0,176.7979053113141,45.51535791170587,72.73703256876654,295.05029579178654
55.5,177.04891122916317,45.26689604603317,72.78901669327323,295.1048239684696
56.0,177.28091114407889,45.040780435131076,72.83679191188185,295.15848349109183
56.5,177.49891991739088,44.834099854554914,72.87881349569976,295.21183326764555
57.0,177.70795241042865,44.64394307986006,72.91353671583423,295.26543220612297
57.5,177.9130234845219,44.46739888660187,72.93941684339258,295.3198392145163
58.0,178.11914800100016,44.301556050335684,72.9549091494821,295.37561320081795
58.5,178.33134082119307,44.14350334661687,72.95846890521017,295.4333130730201
59.0,178.55461680643018,43.99032955100078,72.94855138168404,295.493497739115
59.5,178.7939908180411,43.839123439042744,72.92361185001103,295.55672610709496
60.0,179.05447771735544,43.686973786298154,72.88210558129849,295.6235570849521
60.5,179.3394413647094,43.531434464803716,72.82331017178565,295.69418600129876
61.0,179.64564161646555,43.37191973252168,72.74979251823966,295.76735386722686
61.5,179.96818732799312,43.20830894389567,72.66494184255954,295.8414381144483
62.0,180.30218735466127,43.040481453369296,72.57214736664442,295.91481617467497
62.5,180.64275055183927,42.86831661538618,72.47479831239336,295.9858654796188
63.0,180.98498577489624,42.69169378438994,72.37628390170542,296.05296346099163
63.5,181.32400187920146,42.5104923148242,72.27999335647968,296.1144875505053
64.0,181.65490772012404,42.32459156113257,72.18931589861523,296.1688151798719
64.5,181.9728121530333,42.133870877758675,72.10764075001113,296.21432378080306
65.0,182.27282403329832,41.938209619146136,72.03835713256645,296.2493907850109
65.5,182.5512471353481,41.73759160101121,71.98402638531277,296.27286512167206
66.0,182.80916490985038,41.53241848416077,71.94389831581177,296.28548170982293
66.5,183.04885572653265,41.3231963906743,71.91639484875756,296.2884469659645
67.0,183.27259795512248,41.1104314426313,71.89993790884431,296.2829673065981
67.5,183.48266996534727,40.8946297621113,71.89294942076613,296.27024914822476
68.0,183.68135012693463,40.67629747119378,71.89385130921723,296.25149890734565
68.5,183.87091680961194,40.45594069195824,71.90106549889173,296.22792300046194
69.0,184.0536483831068,40.2340655464842,71.91301391448377,296.2007278440747
69.5,184.23182321714663,40.01117815685116,71.92811848068752,296.1711198546853
70.0,184.40771968145896,39.7877846451386,71.9448011221971,296.14030544879466
