# Age_Ma	Predicted_CCD_m	Lo95_m	Hi95_m
143.000	-3808.830	-3963.805	-3653.854
144.000	-3789.225	-3944.200	-3634.250
145.000	-3723.854	-3878.829	-3568.879
146.000	-3616.637	-3771.612	-3461.661
147.000	-3558.476	-3713.451	-3403.500
148.000	-3504.863	-3659.838	-3349.887
149.000	-3430.040	-3585.016	-3275.065
150.000	-3407.331	-3562.306	-3252.355
151.000	-3516.976	-3671.951	-3362.000
152.000	-3514.411	-3669.386	-3359.436
153.000	-3509.556	-3664.532	-3354.581
154.000	-3566.355	-3721.330	-3411.379
155.000	-3695.120	-3850.096	-3540.145
156.000	-3805.781	-3960.757	-3650.806
157.000	-3915.386	-4070.361	-3760.411
158.000	-3998.894	-4153.869	-3843.919
159.000	-4070.111	-4225.087	-3915.136
160.000	-4110.345	-4265.320	-3955.370
161.000	-4116.740	-4271.716	-3961.765
162.000	-4109.015	-4263.990	-3954.039
163.000	-4098.644	-4253.619	-3943.668
164.000	-4076.982	-4231.958	-3922.007
165.000	-4049.410	-4204.385	-3894.435
166.000	-4063.869	-4218.845	-3908.894
167.000	-4188.119	-4343.094	-4033.144
168.000	-4276.909	-4431.885	-4121.934
169.000	-4329.546	-4484.522	-4174.571
170.000	-4205.619	-4360.594	-4050.644
171.000	-4153.708	-4308.683	-3998.733
172.000	-4233.555	-4388.530	-4078.579
173.000	-4354.780	-4509.755	-4199.805
174.000	-4337.208	-4492.183	-4182.232
175.000	-4206.579	-4361.554	-4051.604
176.000	-4087.692	-4242.667	-3932.717
177.000	-3987.450	-4142.426	-3832.475
178.000	-3929.515	-4084.490	-3774.540
179.000	-3924.870	-4079.845	-3769.895
180.000	-3970.120	-4125.095	-3815.144
181.000	-4056.668	-4211.643	-3901.693
182.000	-4344.740	-4499.715	-4189.764
183.000	-4577.150	-4732.126	-4422.175
184.000	-4558.344	-4713.319	-4403.369
185.000	-4482.868	-4637.844	-4327.893
186.000	-4374.336	-4529.312	-4219.361
187.000	-4302.498	-4457.473	-4147.523
188.000	-4280.393	-4435.368	-4125.418
189.000	-4289.958	-4444.933	-4134.982
190.000	-4376.111	-4531.086	-4221.135
191.000	-4412.377	-4567.352	-4257.401
192.000	-4402.312	-4557.287	-4247.337
193.000	-4441.530	-4596.505	-4286.555
194.000	-4524.667	-4679.642	-4369.691
195.000	-4569.441	-4724.416	-4414.466
196.000	-4735.537	-4890.512	-4580.562
197.000	-4828.593	-4983.569	-4673.618
198.000	-4869.964	-5024.940	-4714.989
199.000	-4862.013	-5016.988	-4707.037
200.000	-4832.432	-4987.407	-4677.457
201.000	-4787.376	-4942.351	-4632.400
202.000	-4710.803	-4865.779	-4555.828
203.000	-4691.328	-4846.303	-4536.352
204.000	-4733.819	-4888.795	-4578.844
205.000	-4832.150	-4987.125	-4677.175
