method,slope,intercept,r,r2,p_naive,n,neff_ar1,p_ar1,notes
OLS,-6.260746713181931,-1.3151851529026184e-12,-0.5245298970138853,0.27513161286139715,5.5385350283778965e-05,53,6.381713066695941,0.26104593351855343,detrended
RMA,-11.935919666017048,-1.3562705222336063e-12,-0.5245298970138853,0.27513161286139715,5.5385350283778965e-05,53,6.381713066695941,0.26104593351855343,detrended
ODR,-22.639843877366285,-1.3151851529026184e-12,-0.5245298970138853,0.27513161286139715,5.5385350283778965e-05,53,6.381713066695941,0.26104593351855343,detrended
Theil-Sen_robust,-5.844965441031384,-17.88115703005846,-0.5245298970138853,0.27513161286139715,5.5385350283778965e-05,53,6.381713066695941,0.26104593351855343,detrended
