method,slope,intercept,r,r2,p_naive,n,neff_ar1,p_ar1,notes
OLS,-6.88161850704743,4508.356218582966,-0.8609625998633654,0.7412565983634855,1.3689642785088468e-16,53,3.0,0.3397240449917914,raw
RMA,-7.992935474943443,4570.646142712633,-0.8609625998633654,0.7412565983634855,1.3689642785088468e-16,53,3.0,0.3397240449917914,raw
ODR,-9.246547464001857,4640.911784986137,-0.8609625998633654,0.7412565983634855,1.3689642785088468e-16,53,3.0,0.3397240449917914,raw
Theil-Sen_robust,-6.2553303070295225,4558.3066091908695,-0.8609625998633654,0.7412565983634855,1.3689642785088468e-16,53,3.0,0.3397240449917914,raw
