method,parameter,p2.5,median,p97.5
ODR,slope,-13.069156008092632,-9.5238989991173,-6.768943215025662
ODR,intercept,4459.2715420404365,4667.478818263177,4952.479446453497
ODR,r,-0.9356257244505781,-0.8093897900260874,-0.2235434835572877
ODR,r2,0.0680063946027503,0.6551118322154421,0.8753954962686935
OLS,slope,-9.474658726702112,-6.152574449557211,-0.9124013695952413
OLS,intercept,4321.843784844382,4471.417777069853,4725.812585776607
OLS,r,-0.9356257244505781,-0.8093897900260874,-0.2235434835572877
OLS,r2,0.0680063946027503,0.6551118322154421,0.8753954962686935
RMA,slope,-10.331447607601497,-7.57888562890595,-3.8140255597118236
RMA,intercept,4397.372967178884,4552.238887852387,4800.5243729536005
RMA,r,-0.9356257244505781,-0.8093897900260874,-0.2235434835572877
RMA,r2,0.0680063946027503,0.6551118322154421,0.8753954962686935
Theil-Sen_robust,slope,-9.337732308251104,-5.164818471821358,-0.49043485962271044
Theil-Sen_robust,intercept,4304.927389211138,4503.536657960563,4819.3191650473445
Theil-Sen_robust,r,-0.9356257244505781,-0.8093897900260874,-0.2235434835572877
Theil-Sen_robust,r2,0.0680063946027503,0.6551118322154421,0.8753954962686935
