Sea_level_m,CCD_p2.5,CCD_median,CCD_p97.5
-12.509,4455.59709109846,4645.443566019676,4927.597336264037
-11.736613065326633,4452.0572150317375,4639.631697991441,4919.969139600311
-10.964226130653266,4448.603988692057,4633.851123748946,4912.181749976718
-10.1918391959799,4445.535969581286,4627.910332344347,4904.387399930527
-9.419452261306533,4442.436675897263,4621.920448939365,4896.451352161995
-8.647065326633166,4438.891796839039,4616.241609155659,4888.514455436613
-7.8746783919598,4435.662599190848,4610.554308677083,4880.749427349906
-7.102291457286434,4432.194769804036,4604.854105860037,4873.256367272348
-6.329904522613067,4428.91034804166,4599.125513487485,4865.201934396094
-5.557517587939699,4424.478517796924,4593.232107574524,4857.097571422415
-4.785130653266333,4420.66947252783,4587.4689032107435,4849.075827620091
-4.012743718592967,4417.518082991174,4581.910104826535,4841.314840206108
-3.2403567839195997,4413.998874771955,4576.293063023922,4833.834991924745
-2.4679698492462325,4410.090416430965,4570.469159409415,4826.083894088615
-1.6955829145728671,4405.99326635517,4564.712618190926,4818.157396467462
-0.9231959798995,4402.030241866714,4559.087106563335,4810.032464024115
-0.1508090452261328,4398.101752086455,4553.372387285202,4802.094490123756
0.6215778894472344,4393.685662850251,4547.564181117208,4794.016374806696
1.3939648241206015,4389.846704593854,4541.940031572369,4786.029812815581
2.166351758793967,4385.390592042331,4535.932435333112,4777.993619178833
2.938738693467334,4381.217341063362,4530.492043360538,4769.957425542085
3.7111256281406995,4376.821610297964,4524.723531191517,4761.921231905338
4.483512562814067,4372.106774109339,4519.1334944125565,4754.0345590678735
5.255899497487434,4367.306340580256,4513.449119361823,4746.28195749855
6.028286432160801,4363.395783527017,4507.950657543018,4738.535401413935
6.800673366834168,4359.241337392385,4502.433649338654,4730.417898240944
7.573060301507535,4354.982301376094,4497.006675645829,4722.740009322414
8.345447236180902,4350.121466441491,4491.366123519161,4714.940721791182
9.117834170854266,4345.588967349672,4485.86922552631,4706.978587944242
9.890221105527633,4341.559648589722,4480.169203136258,4699.260345255741
10.662608040201,4337.003468539655,4474.459017112751,4691.369973636351
11.434994974874368,4332.462588280498,4468.748675043957,4683.3721665196035
12.207381909547735,4327.881331192992,4463.09917362589,4675.23259116143
12.979768844221102,4323.215504460375,4457.6079479263935,4667.1303135686985
13.752155778894469,4319.013875674111,4451.928156039381,4659.13827388506
