,gross_atmospheric_outflux_with_unbiased_rifts,gross_atmospheric_outflux_with_unbiased_rifts,gross_atmospheric_outflux_with_unbiased_rifts,gross_plate_influx_with_sed_unbiased_rifts,gross_plate_influx_with_sed_unbiased_rifts,gross_plate_influx_with_sed_unbiased_rifts,net_atmospheric_outflux_with_sed_unbiased_rifts,net_atmospheric_outflux_with_sed_unbiased_rifts,net_atmospheric_outflux_with_sed_unbiased_rifts
,min,mean,max,min,mean,max,min,mean,max
Age (Ma),,,,,,,,,
0,109.10693529309759,137.80974986229091,168.37906911809102,164.96133890983975,168.92422718983323,174.2826269765752,-63.78018017672912,-31.114477327542318,4.813241714999748
1,112.89693526687478,139.17441304051135,170.0058352193404,168.50802880318193,172.5019485461183,177.976450232872,-63.59893302217992,-33.32753550560696,2.9783883599757814
2,112.89693526687478,139.17441304051135,169.68444393830885,169.1585160518912,173.25191361249358,178.79838025789098,-64.44837590622117,-34.07750057198223,1.9789969712126663
3,112.99375272990764,139.3875591125395,173.16677348028725,232.23992069387094,236.24852492204502,241.83398868126721,-127.26337642031146,-96.86096580950553,-57.49628768253558
4,111.90535114906761,142.85946405434134,176.89148816464473,232.40204173119213,236.60439757787455,242.18726450576585,-128.90140227548937,-93.7449335235332,-54.13004248533852
5,111.96505743208473,148.925217475115,182.01637756732393,231.98489163818215,236.1312183954473,241.60839932409604,-128.3124877206277,-87.20600092033229,-48.63765989947461
6,118.66603737704375,155.58402779881408,189.31793580817217,230.52322052258563,234.6676821211178,240.17461594918217,-120.1461063426062,-79.08365432230372,-39.84281248488125
7,118.51443894511982,156.52041422319192,189.87481514470974,230.29871446906196,234.48272990034758,239.8776441445175,-120.15230638651337,-77.96231567715566,-39.213000511467925
8,118.65145055327555,156.6143247733704,191.2841924015406,232.4518665189718,236.74403750646408,242.31410556733937,-122.38475794068081,-80.12971273309367,-39.8897770440482
9,118.41886245938024,156.2396895414635,190.91276240545645,232.41469834711506,236.70980201739224,242.22674105406725,-122.58604322828917,-80.47011247592874,-40.280100575260775
10,118.26153436949198,156.09945229142454,190.80955976291162,233.82402510843127,238.12326238073408,243.8566049763355,-124.1609652835449,-82.02381008930953,-41.58036002222104
11,118.37894430558333,156.26517253117106,191.0235903063133,232.65183989513147,236.9329678748078,242.6770300841251,-122.83515154890077,-80.66779534363673,-40.16531535917716
12,117.90607459355476,155.765795992757,190.49770694151377,229.85297227270158,234.17241356981717,240.05921040523432,-120.58578027337799,-78.40661757706016,-37.78790979288624
13,117.63327688341431,155.22703293054235,189.94919256224458,228.16476104984372,232.49333762681178,238.39395645656663,-119.18863732036553,-77.26630469626943,-36.643526234812356
14,121.9899158449419,155.32902430130522,190.233583941253,229.1381686804311,233.59138401279694,239.42420790601997,-116.05468350022086,-78.26235971149171,-37.52497617832091
15,123.06418254087585,155.18907273345178,190.0515471864644,227.84425686621148,232.3229747307691,238.4493577887776,-113.73751005445085,-77.13390199731731,-36.14504448629617
16,122.71417128087032,154.90461079418938,189.52872406877552,228.05120646646378,232.63090017021605,238.88200066077303,-114.496422593098,-77.72628937602667,-36.851075610883555
