Age (Ma),time,ridge_outflux_min,ridge_outflux_mean,ridge_outflux_max,subduction_outflux_min,subduction_outflux_mean,subduction_outflux_max,carbonate_platform_outflux_min,carbonate_platform_outflux_mean,carbonate_platform_outflux_max,rift_outflux_non_biased_min,rift_outflux_non_biased_mean,rift_outflux_non_biased_max,rift_outflux_biased_min,rift_outflux_biased_mean,rift_outflux_biased_max,intraplate_volcanism_outflux_min,intraplate_volcanism_outflux_mean,intraplate_volcanism_outflux_max,gross_atmospheric_outflux_no_rift_min,gross_atmospheric_outflux_no_rift_mean,gross_atmospheric_outflux_no_rift_max,gross_atmospheric_outflux_unbiased_rift_min,gross_atmospheric_outflux_unbiased_rift_mean,gross_atmospheric_outflux_unbiased_rift_max,gross_atmospheric_outflux_biased_rift_min,gross_atmospheric_outflux_biased_rift_mean,gross_atmospheric_outflux_biased_rift_max,net_atmospheric_influx_unbiased_and_sed_min,net_atmospheric_influx_unbiased_and_sed_mean,net_atmospheric_influx_unbiased_and_sed_max,net_atmospheric_influx_biased_and_sed_min,net_atmospheric_influx_biased_and_sed_mean,net_atmospheric_influx_biased_and_sed_max,gross_upper_plate_influx_with_sed_min,gross_upper_plate_influx_with_sed_mean,gross_upper_plate_influx_with_sed_max
17,17.0,12.532338235882673,15.812446722337311,19.107550799124876,10.67969297478834,10.67969297478834,13.005165499738842,78.19802701590622,101.79012402419184,122.33550422416458,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,104.41005822657723,134.2822637213175,163.44822052302828,122.30022130323198,154.2366763837401,185.46688277121874,122.30022130323198,154.2366763837401,185.46688277121874,-112.87611848067067,-76.56384791267524,-39.17515059825294,-112.87611848067067,-76.56384791267524,-39.17515059825294,226.42470880892805,230.80052429641535,236.95901522335902
18,18.0,12.71169881407542,16.003901268676785,19.29610372327815,10.627495454276378,10.627495454276378,12.614855018180572,76.96064538423856,101.30092400435888,122.10518682889465,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,103.29983965259035,133.93232072731203,163.01614557035336,121.1900027292451,153.88673338973464,185.0348078185438,121.1900027292451,153.88673338973464,185.0348078185438,-114.17903820052837,-77.04730216202321,-39.69614513446757,-114.17903820052837,-77.04730216202321,-39.69614513446757,226.49903017374226,230.93403555175786,237.13711815050434
19,19.0,12.71169881407542,16.003901268676785,19.29610372327815,10.62250736847163,10.62250736847163,12.609866932375827,76.96064538423856,101.30092400435888,122.10518682889465,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,103.29485156678561,133.9273326415073,163.01115748454862,121.18501464344035,153.8817453039299,185.02981973273907,121.18501464344035,153.8817453039299,185.02981973273907,-114.35231696153664,-77.07126383566492,-39.81283140908579,-114.35231696153664,-77.07126383566492,-39.81283140908579,226.36868667421265,230.95300913959483,237.0633671373648
20,20.0,12.71169881407542,16.003901268676785,19.29610372327815,9.88995356649959,9.88995356649959,11.877313130403788,76.96064538423856,101.30092400435888,122.10518682889465,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,102.56229776481356,133.19477883953525,162.27860368257657,120.45246084146831,153.14919150195786,184.29726593076703,120.45246084146831,153.14919150195786,184.29726593076703,-115.3959041070012,-78.10683928425382,-40.79342996974006,-115.3959041070012,-78.10683928425382,-40.79342996974006,226.66369662395385,231.25603078621168,237.42136567191628
21,21.0,12.862772202289651,16.09080592689126,19.318839651492866,9.879806702398202,9.879806702398202,11.88531891261596,75.64520638935018,99.86459577635428,122.10518682889465,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,101.38778529403803,131.83520840564375,162.30934539300347,119.27794837069277,151.78962106806637,184.32800764119392,119.27794837069277,151.78962106806637,184.32800764119392,-119.17948155030214,-82.20235490376348,-43.15240064589713,-119.17948155030214,-82.20235490376348,-43.15240064589713,229.52652202266478,233.99197597182985,240.50354365656864
22,22.0,12.99453688043342,16.242445035924504,19.490353191415572,9.771561544530906,9.771561544530906,11.476130129102351,71.41735130745266,99.86459577635428,122.10518682889465,17.890163076654748,19.954412662422605,22.01866224819046,17.890163076654748,19.954412662422605,22.01866224819046,3.0,6.0,9.0,97.18344973241699,131.8786023568097,162.07167014941257,115.07361280907173,151.8330150192323,184.09033239760302,115.07361280907173,151.8330150192323,184.09033239760302,-125.33445940539386,-84.15213978527282,-45.54075626659062,-125.33445940539386,-84.15213978527282,-45.54075626659062,231.56223739454467,235.98515480450513,242.33922094481662
23,23.0,13.102851793896743,16.349699065103255,19.596546336309768,9.62196391367042,9.62196391367042,11.6074771545698,70.20943554060116,99.86459577635428,122.33550422416458,18.343638266329467,20.460211912444407,22.576785558559344,18.343638266329467,20.460211912444407,22.576785558559344,3.0,6.0,9.0,95.93425124816832,131.83625875512797,162.53952771504416,114.27788951449779,152.29647066757238,185.1163132736035,114.27788951449779,152.29647066757238,185.1163132736035,-130.25656236944522,-87.62969486078023,-48.2529047921993,-130.25656236944522,-87.62969486078023,-48.2529047921993,235.31787917276222,239.9261655283526,246.4831129909024
24,24.0,13.790270124817493,17.120700073156264,20.45113002149503,9.771561544530906,9.771561544530906,11.967239158233367,69.14309731869675,99.86459577635428,122.50278603604237,19.0538937821575,21.252419987791054,23.45094619342461,19.0538937821575,21.252419987791054,23.45094619342461,3.0,6.0,9.0,95.70492898804514,132.75685739404145,163.92115521577077,114.75882277020264,154.0092773818325,187.37210140919538,114.75882277020264,154.0092773818325,187.37210140919538,-132.1474008750477,-88.24859071379623,-48.27739732530458,-132.1474008750477,-88.24859071379623,-48.27739732530458,237.60951254600712,242.25786809562874,248.86623745675752
25,25.0,13.790270124817493,17.120700073156264,20.45113002149503,9.882088944221621,9.882088944221621,11.850368380267438,69.14309731869675,99.86459577635428,122.50278603604237,19.0538937821575,21.252419987791054,23.45094619342461,19.0538937821575,21.252419987791054,23.45094619342461,3.0,6.0,9.0,95.81545638773586,132.86738479373216,163.80428443780482,114.86935016989337,154.11980478152321,187.25523063122944,114.86935016989337,154.11980478152321,187.25523063122944,-135.8896737506069,-92.00868841236502,-52.264893201530015,-135.8896737506069,-92.00868841236502,-52.264893201530015,241.4979624672762,246.12849319388823,252.736862555017
26,26.0,14.004335817758616,17.32267767017217,20.64101952258572,10.05990105979233,10.05990105979233,12.028180495838146,68.2215418562123,100.07495502478496,123.99564342635924,19.0538937821575,21.252419987791054,23.45094619342461,19.0538937821575,21.252419987791054,23.45094619342461,3.0,6.0,9.0,95.28577873376324,133.45753375474945,165.66484344478312,114.33967251592074,154.7099537425405,189.11578963820773,114.33967251592074,154.7099537425405,189.11578963820773,-136.37409228607993,-91.40565775512755,-50.219817404047774,-136.37409228607993,-91.40565775512755,-50.219817404047774,241.51745819333544,246.11561149766806,252.8956159530806
27,27.0,14.004335817758616,17.32267767017217,20.64101952258572,10.434112376605093,10.434112376605093,12.457595291426916,68.2215418562123,101.7680604457404,128.013568404967,19.0538937821575,21.252419987791054,23.45094619342461,19.0538937821575,21.252419987791054,23.45094619342461,3.0,6.0,9.0,95.659990050576,135.52485049251766,170.11218321897962,114.7138838327335,156.77727048030872,193.56312941240424,114.7138838327335,156.77727048030872,193.56312941240424,-137.06147903060747,-90.39998258601068,-46.86866335961133,-137.06147903060747,-90.39998258601068,-46.86866335961133,242.57914326929782,247.1772530663194,253.92271336062322
28,28.0,13.441112420795392,16.96485749650388,20.488602572212372,10.487382625393407,10.487382625393407,12.496617029002364,68.2215418562123,107.27845350437462,130.97996919384465,19.0538937821575,21.252419987791054,23.45094619342461,19.0538937821575,21.252419987791054,23.45094619342461,3.0,6.0,9.0,95.1500369024011,140.73069362627191,172.9651887950594,114.2039306845586,161.98311361406297,196.416134988484,114.2039306845586,161.98311361406297,196.416134988484,-138.12211505892859,-85.64782648043996,-44.426920658712476,-138.12211505892859,-85.64782648043996,-44.426920658712476,242.93583444551868,247.63094009450293,254.41882454180939
29,29.0,13.441112420795392,16.96485749650388,20.488602572212372,10.499791720552695,10.499791720552695,12.50902612416165,69.14309731869675,107.27845350437462,130.97996919384465,19.0538937821575,21.252419987791054,23.45094619342461,19.0538937821575,21.252419987791054,23.45094619342461,3.0,6.0,9.0,96.08400146004483,140.7431027214312,172.97759789021868,115.13789524220233,161.99552270922226,196.4285440836433,115.13789524220233,161.99552270922226,196.4285440836433,-137.65423675421698,-86.06403623718614,-45.02883741791669,-137.65423675421698,-86.06403623718614,-45.02883741791669,243.3269858963975,248.0595589464084,254.66173639125682
30,30.0,13.441112420795392,17.403936275571144,21.483567178491853,10.499791720552695,10.499791720552695,12.50902612416165,70.71432799874849,107.27845350437462,130.97996919384465,19.0538937821575,21.252419987791054,23.45094619342461,19.0538937821575,21.252419987791054,23.45094619342461,3.0,6.0,9.0,97.65523214009657,141.18218150049847,173.97256249649814,116.70912592225407,162.43460148828953,197.42350868992276,116.70912592225407,162.43460148828953,197.42350868992276,-136.1690084667781,-85.7282854816807,-44.03787074822591,-136.1690084667781,-85.7282854816807,-44.03787074822591,243.44763955090826,248.16288696997023,254.8643945017918
31,31.0,14.09270340182407,17.842312279415058,21.59192115700605,10.626704143451603,10.626704143451603,12.538153426303154,72.09057541852098,107.27845350437462,130.97996919384465,19.0538937821575,21.252419987791054,23.45094619342461,19.0538937821575,21.252419987791054,23.45094619342461,3.0,6.0,9.0,99.80998296379666,141.7474699272413,174.11004377715386,118.86387674595416,162.99988991503236,197.56098997057848,118.86387674595416,162.99988991503236,197.56098997057848,-133.36920105151125,-84.51484546109694,-43.181139690997924,-133.36920105151125,-84.51484546109694,-43.181139690997924,242.79639295479316,247.5147353761293,254.2873410906822
