,net_carbon_outflux,net_carbon_outflux,net_carbon_outflux,net_carbon_outflux_with_sediment_storage,net_carbon_outflux_with_sediment_storage,net_carbon_outflux_with_sediment_storage,net_carbon_outflux_with_sediment_storage_biased,net_carbon_outflux_with_sediment_storage_biased,net_carbon_outflux_with_sediment_storage_biased,ratschbacher_net_carbon_outflux,ratschbacher_net_carbon_outflux,ratschbacher_net_carbon_outflux
,min,mean,max,min,mean,max,min,mean,max,min,mean,max
Age (Ma),,,,,,,,,,,,
0,71.60490812883813,104.27061097802493,140.198330020567,48.88475961883813,78.70702957802493,111.791316770567,48.88475961883813,78.70702957802493,111.791316770567,7.727730601128073,23.51283592607652,35.190529068411664
1,75.22234237825785,105.49373989483081,141.79966376041355,51.94852436825785,79.3073236448308,112.70064998041354,51.94852436825785,79.3073236448308,112.70064998041354,8.57265469489331,24.73596484288241,36.46456604293593
2,74.3728994942166,104.74377482845554,140.80027237165044,51.0990814842166,78.55735857845553,111.70125859165043,51.0990814842166,78.55735857845553,111.70125859165043,8.072115950905875,23.985999776507143,35.81407879422664
3,74.1842160678567,104.58662667866264,143.95130480563262,42.3727338178567,68.79948684866264,104.18850693563262,42.3727338178567,68.79948684866264,104.18850693563262,7.789922959573381,23.683532685680873,35.397828038934
4,72.64338574327462,107.79985449523079,147.41474553342547,40.09992818327462,71.1855792452308,106.72965232342548,40.09992818327462,71.1855792452308,106.72965232342548,6.320678215766989,22.355677992896894,34.264248977948135
5,72.48406919959521,113.59055599989063,152.15889702074833,37.86569772959521,74.64596897989063,108.88809556074833,37.86569772959521,74.64596897989063,108.88809556074833,6.002121698863668,21.715955807972925,33.57463861920058
6,78.79867979796455,119.86113181826704,159.10197365568948,42.956403387964556,79.54305782826704,114.30810258568948,42.956403387964556,79.54305782826704,114.30810258568948,9.49814789458209,25.79612089011517,38.15550398074649
7,78.32155783321691,120.5115485425746,159.26086370826235,42.799477193216916,80.55262644257459,114.86510043826235,42.799477193216916,80.55262644257459,114.86510043826235,9.170406942658111,25.413674048286623,37.82523226183703
8,78.26970358670866,120.52474879429579,160.76468448334128,42.86095906670866,80.69519773429579,116.51432719334129,42.86095906670866,80.69519773429579,116.51432719334129,8.952460698021376,25.412468517539914,38.01544594381315
9,77.96505099328328,120.08098174564374,160.2709936463117,42.556306473283286,80.25143068564374,116.0206363563117,42.556306473283286,80.25143068564374,116.0206363563117,8.605767342812875,25.017342384481566,37.47416181636543
10,77.75026921389212,119.8874244081275,160.33087447521598,44.93575976389212,82.9670056581275,119.30454653521598,44.93575976389212,82.9670056581275,119.30454653521598,8.205921743942113,24.872425962559014,37.343426297155105
11,78.00853257953027,120.17588878479432,160.67836876925392,45.93244231953027,84.08533420479432,120.57335017925392,45.93244231953027,84.08533420479432,120.57335017925392,8.493910862348109,25.215233631841663,37.715093815325886
12,77.51654587190625,119.69570856822408,160.31441635239798,46.66383619190624,84.98199256822409,121.73969438239799,46.66383619190624,84.98199256822409,121.73969438239799,7.9580262045698476,24.792745722963737,37.306865444245275
13,77.15009125319811,119.0724238772942,159.69520233875127,48.86333270319811,87.2488621572942,124.33483737875127,48.86333270319811,87.2488621572942,124.33483737875127,7.390293369957078,24.22715333972618,36.76098264915063
14,81.0802440592135,118.87256784794266,159.60995138111346,53.6134317092135,87.96946504794266,125.27055944111346,53.6134317092135,87.96946504794266,125.27055944111346,7.261548198615202,24.148036316128533,36.95516039796008
15,81.52448777228555,118.1280958294191,159.11695334044023,55.035650492285555,88.3234678994191,125.99653448044023,55.035650492285555,88.3234678994191,125.99653448044023,6.325224735841509,23.461256605297258,36.322479007887495
16,80.54434322578842,117.31447644285973,158.18969020800284,54.055505945788425,87.50984851285973,125.06927134800284,54.055505945788425,87.50984851285973,125.06927134800284,5.684871628760419,22.705329526430212,35.738509509644885
17,81.35869388163374,117.6833126733824,154.80831164096554,54.86985660163374,87.87868474338241,121.68789278096554,54.86985660163374,87.87868474338241,121.68789278096554,6.798319459904512,23.3551258219654,36.171491557864314
18,80.02482013603372,117.1629066285345,154.28225687248155,53.51673571603372,87.3379330185345,121.14039374248156,53.51673571603372,87.3379330185345,121.14039374248156,7.104455726179587,23.391982624175604,36.289437389211415
