Age (Ma),GAST_min,GAST_mean,GAST_max,average_min,average_mean,average_max
0,12.6686245330859,17.29271350281715,21.9168024725484,12.5,14.634,16.5
1,12.7049300694091,17.4147854464743,22.1246408235395,12.234602729999999,14.333460279333332,16.896666666666665
2,12.7352214410834,17.52673280729755,22.3182441735117,12.216710910000002,14.527639922,17.62
3,12.7598041134973,17.62911323751195,22.4984223615266,12.16701091,14.732024348666666,17.963333333333335
4,12.7790036459293,17.722527904219902,22.6660521625105,12.237300909999998,14.860386388666665,17.333333333333332
5,12.7931575101289,17.807583469561948,22.822009428995,12.35571636,14.604493232,16.76
6,12.802609862647,17.8848791783548,22.9671484940626,12.55476727,14.688192007333333,16.446666666666665
7,12.8077077208687,17.95500276277265,23.1022978046766,12.778373639999998,15.203075301333334,17.076666666666668
8,12.808797688244,18.0185131259346,23.2282285636252,13.026515450000002,15.620682196666667,18.19333333333333
9,12.8062224433314,18.0759176122646,23.3456127811978,13.27739455,15.838600643333333,18.776666666666667
10,12.8003162437902,18.1276604612126,23.455004678635,13.53422091,15.994478028666666,18.66333333333333
11,12.7913986922673,18.1741181766067,23.5568376609461,13.82479455,15.91636097666667,17.463333333333335
12,12.77976594846,18.215588125485,23.65141030251,14.118095449999998,16.01468152333333,17.146666666666665
13,12.765678416584,18.2522684941569,23.7388585717298,14.414133640000003,16.217428281333333,17.346666666666668
14,12.7493436270026,18.2842293221532,23.8191150173038,14.701980000000002,16.584387400000004,18.169999999999998
15,12.7308924486455,18.3113803599393,23.8918682712331,14.981644549999999,17.000589443333332,18.468766
16,12.7103457032967,18.33343179431255,23.9565178853284,15.253157270000003,16.886675500666666,18.1279569
17,12.6875663309526,18.34984292298255,24.0121195150125,15.517168179999999,16.747380269333334,17.6510765
18,12.6621888845042,18.3597524571538,24.0573160298034,15.77300727,16.738429353999997,17.3640895
19,12.6335126836289,18.361881270647,24.0902498576651,16.01793727,16.969301374000004,17.99
20,12.6003384651992,18.3543987007306,24.108458936262,16.25194818,17.207318789333335,19.016666666666666
21,12.5607328995321,18.33477066117295,24.1088084228138,16.47506,17.521278206666665,19.703333333333333
22,12.5117889336019,18.299789909306,24.0877908850101,16.68726273,18.04065717933333,19.94666666666667
23,12.4499189257388,18.24674771934695,24.0435765129551,16.88854636,17.669623292,19.06
24,12.3739494054309,18.1790386072468,23.9841278090627,17.12701727,17.849622567333334,18.5800289
25,12.2935203081192,18.1181159224802,23.9427115368412,16.52,17.89856647,18.9638969
26,12.2399159934469,18.1146327074431,23.9893494214393,15.936666666666666,17.819793695333335,19.16418
27,12.2113879864524,18.1401279105691,24.0688678346858,16.34,17.907026507999998,19.52506
28,12.2118157352633,18.1962421700297,24.1806686047961,16.4594411,17.741342281333335,19.88594
29,12.2445906264649,18.2847264884078,24.3248623503507,17.24856,18.324471574666667,20.24682
30,12.3124788565688,18.40676894992655,24.5010590432843,17.11273,18.994458341333335,20.6077
31,12.4174997522581,18.56271049792245,24.7079212435868,16.8980567,19.391567401333333,22.046666666666667
32,12.5608112036413,18.752489847338552,24.9441684910358,17.8961749,20.026134374666665,23.083333333333332
33,12.7426068900532,18.97571983785265,25.2088327856521,17.2611247,20.156439001333332,23.22666666666667
34,12.9620309186006,19.23103171783955,25.5000325170785,18.7754193,20.555162042,22.560000000000002
35,13.2171161752078,19.51564600814725,25.8141758410867,19.24472,20.52198205,22.7142
36,13.5047530464802,19.82558503302885,26.1464170195775,18.8329007,20.176001594,22.6786
37,13.820695168084,20.155980610172698,26.4912660522614,18.069999999999997,20.296223332,22.643
38,14.1596080870805,20.5012707569646,26.8429334268487,18.45,20.589584106,22.6074
39,14.5151648888657,20.855193194193898,27.1952214995221,18.900000000000002,20.915810802,22.5718
40,14.8801900733111,21.21087515682865,27.5415602403462,19.333333333333332,21.23129052866667,22.5362
41,15.2468495544024,21.5609826897947,27.875115825187,19.71666666666667,21.315891379333333,22.47792
42,15.6068811924376,21.8978801564808,28.188879120524,19.033333333333335,21.662510418666667,23.0863524
43,15.9518571977369,22.21385295884475,28.4758487199526,20.2,21.816778464000002,22.37503182
44,16.2734668066541,22.50140815709485,28.7293495075356,20.66333333333333,21.951468196666664,22.492234550000003
45,16.5638044375748,22.7535726627233,28.9433408878718,21.22666666666667,22.138329663333334,22.61217455
46,16.8156454464295,22.964101986028602,29.1125585256277,21.32,22.445029264000002,22.9363945
47,17.0226899023694,23.12761689194615,29.2325438815229,22.47844,22.987311492000003,23.5788511
48,17.1797568771271,23.239695957546402,29.2996350379657,22.59526,23.63003708933333,24.496666666666666
49,17.2829211765706,23.29693483209755,29.3109484876245,22.71208,23.80049706333333,24.8031232
50,17.3296041436447,23.296991848686652,29.2643795537286,22.8289,23.86867618266667,25.1409294
51,17.3186538455767,23.2386787326428,29.1587036197089,22.52164,23.765655345333336,25.5099037
52,17.2505594785285,23.1221176924967,28.9936759064649,22.21438,23.52739792,25.1804596
53,17.1279597843802,22.949089905776248,28.7702200271723,21.90712,23.652802084666668,25.025148
54,16.95592208513,22.72328725054365,28.4906524159573,21.59986,23.217843008666666,24.2789908
55,16.7417568683079,22.4503176924521,28.1588785165963,21.2926,22.959904249999997,24.3539958
56,16.494510408902,22.137509659705,27.780508910508,20.503333333333334,22.374906412666665,25.217426
57,16.2241532371754,21.7935223813382,27.362891525501,20.04044,21.700253999333334,23.10194
58,15.9405226696213,21.4278239698833,26.9151252701453,19.41436,21.28395195,22.77457
59,15.6526599816676,21.0503161664049,26.4479723511422,18.78828,21.005880507999997,22.4472
60,15.3687146742799,20.67119392919135,25.9736731841028,18.1622,20.569870060666666,22.5800297
61,15.0961757645823,20.30092411326045,25.5056724619386,17.61426,20.360087932,22.7339733
62,14.8422219235068,19.95024116205295,25.0582604005991,17.06632,20.118554895333336,22.4946169
63,14.6140027608877,19.6300724644886,24.6461421680895,16.51838,19.898383861999996,22.04601
64,14.4188724386502,19.35141412275175,24.2839558068533,15.97044,19.917477748,22.0751851
65,14.2646243300346,19.125187655856152,23.9857509816777,15.4225,19.994384074,24.1470031
66,14.1596117481027,18.9620087521766,23.7644057562505,15.60004,18.057456983999998,21.78678
67,14.112556727847,18.871783654147848,23.6310105804487,15.77758,19.023596942666664,21.57676
68,14.1321410914116,18.8632822986808,23.59442350595,15.95512,19.207378184666663,21.36674
69,14.2267620226166,18.9439115447101,23.6610610668036,16.13266,19.555593402666666,22.224028179999998
70,14.4041478358794,19.1194469653444,23.8347460948094,16.3102,19.698270140666665,22.84546727
71,14.6709512317442,19.3938069310109,24.1166626302776,17.29738,20.105838051333333,23.46417909
72,15.0327471964533,19.76914251875775,24.5055378410622,18.01666666666667,20.493648261333334,24.080163640000002
73,15.493003340492,20.2455731111032,24.9981428817144,18.046666666666667,20.713839695333338,24.15078091
74,16.0523751827321,20.82120607243855,25.590036962145,18.996666666666666,21.114287493333332,24.161649999999998
75,16.707884133947,21.4918347343001,26.2757853346532,19.67,21.464854942,24.18071091
76,17.4521056065575,22.2502494955306,27.0483933845037,20.64,21.779340388,24.20795364
77,18.2729452397572,23.0857361057275,27.8985269716978,19.87,21.752369256,24.24336818
78,19.1544850736562,23.9845257838568,28.8145664940574,19.036666666666665,21.716004143333333,24.28697455
79,20.0782386452951,24.9307429151409,29.7832471849867,19.896666666666665,22.027113845333336,24.325126360000002
80,21.0244884784037,25.9073352808246,30.7901820832455,22.041626,22.805745261333335,24.41436364
